step,time_h,controller,solver_failures,t_in,co2,rh,T_out,rad,co2_out,sin_h,cos_h,uBoil,uCO2,uThScr,uVent,uLamp,uBlScr
0,0.0,physics_sindy_mpc,0,16.5,417.73931884765625,90.0,4.199999809265137,0.0,400.0,0.0,1.0,1.0,0.9923879661994369,0.6999570949038736,0.0,0.0,0.5409853072979143
1,0.25,physics_sindy_mpc,0,12.921545028686523,796.1763305664062,93.88450622558594,4.199999809265137,0.0,400.0,0.06540312923014306,0.9978589232386035,1.0,0.2663298722823633,1.0,0.20815653905995268,0.0,0.1494078002410557
2,0.5,physics_sindy_mpc,0,12.775345802307129,809.9374389648438,88.56334686279297,4.199999809265137,0.0,400.0,0.13052619222005157,0.9914448613738104,1.0,0.0,1.0,0.16529400056554766,0.0,1.0
3,0.75,physics_sindy_mpc,0,12.807289123535156,726.0346069335938,85.90597534179688,4.199999809265137,0.0,400.0,0.19509032201612825,0.9807852804032304,1.0,0.06533531956215369,1.0,0.03407287029487383,0.0,1.0
4,1.0,physics_sindy_mpc,0,13.606478691101074,707.5640258789062,83.77681732177734,4.199999809265137,0.0,400.0,0.25881904510252074,0.9659258262890683,1.0,0.08205804532289226,1.0,0.0,0.0,1.0
5,1.25,physics_sindy_mpc,0,14.541213035583496,728.2017822265625,82.64646911621094,4.200001239776611,0.0,400.0,0.3214394653031616,0.9469301294951057,0.9618198964888277,0.035066472537448934,1.0,0.0,0.0,1.0
6,1.5,physics_sindy_mpc,0,15.236869812011719,738.3837280273438,82.2952880859375,4.225090026855469,0.0,400.0,0.3826834323650898,0.9238795325112867,0.9004602985061809,0.016644647654237805,1.0,0.0,0.0,1.0
7,1.75,physics_sindy_mpc,0,15.776010513305664,741.1471557617188,82.10578155517578,4.250107765197754,0.0,400.0,0.44228869021900125,0.8968727415326884,0.8476006858630366,0.016269298627428867,1.0,0.0,0.0,1.0
8,2.0,physics_sindy_mpc,0,16.15749740600586,743.4317016601562,82.15482330322266,4.275125980377197,0.0,400.0,0.49999999999999994,0.8660254037844387,0.823179294046969,0.015076920675664547,1.0,0.0,0.0,1.0
9,2.25,physics_sindy_mpc,0,16.419076919555664,744.8727416992188,82.31034088134766,4.299985408782959,0.0,400.0,0.5555702330196022,0.8314696123025452,0.8085221370887999,0.02148669836720218,1.0,0.006945300058073791,0.0,1.0
