method,budget_days,metric_scope,horizon,state,rmse,mae,r2,failed_rollouts,attempted_rollouts,nonzero_coefficients,total_coefficients,sparsity,condition_number
raw_linear,3,one_step,1,t_in,2.9692681884860996,2.1326583079925494,0.042325989051037904,,,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,one_step,1,co2,122.07663042218252,89.0751342724392,0.5176315547858665,,,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,one_step,1,rh,5.0658843572227905,3.6513562970408038,0.4058430113541368,,,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,rollout,4,t_in,3.088267311479347,2.3535648124743065,,0.0,20.0,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,rollout,4,co2,159.80832557775912,120.81207358951538,,0.0,20.0,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,rollout,4,rh,4.857697709342929,3.3208572692444576,,0.0,20.0,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,rollout,20,t_in,4.297173216310699,3.1024333005269,,0.0,20.0,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,rollout,20,co2,375.92118576767564,261.49706192624865,,0.0,20.0,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,rollout,20,rh,6.247596623134181,4.675467341193615,,0.0,20.0,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,rollout,96,t_in,4.099810700588774,2.9813179604595157,,0.0,20.0,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,rollout,96,co2,383.7700508305064,273.88304536537106,,0.0,20.0,34,45,0.24444444444444446,10.13466569694936
raw_linear,3,rollout,96,rh,6.425654785976736,4.919729019947599,,0.0,20.0,34,45,0.24444444444444446,10.13466569694936
raw_quadratic,3,one_step,1,t_in,3.684351582439383,2.543571966040992,-0.4744871218397049,,,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,one_step,1,co2,143.4378714061437,95.080925294457,0.33405020899369664,,,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,one_step,1,rh,10.46144569642173,6.561464400238483,-1.5338101801255752,,,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,rollout,4,t_in,19.613567785091195,6.759132073824722,,0.0,20.0,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,rollout,4,co2,376.66274029635986,242.9265729030325,,0.0,20.0,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,rollout,4,rh,27.43145267605419,16.197221938876705,,0.0,20.0,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,rollout,20,t_in,5710.161231955132,906.6571125961909,,13.0,20.0,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,rollout,20,co2,67959.57004949417,11253.78358681138,,13.0,20.0,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,rollout,20,rh,3828.6183520739733,627.6116970380987,,13.0,20.0,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,rollout,96,t_in,7341.130591182561,1144.9106366152052,,20.0,20.0,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,rollout,96,co2,88269.52805451443,14457.59787590047,,20.0,20.0,163,360,0.5472222222222223,10.13466569694936
raw_quadratic,3,rollout,96,rh,4948.679227232811,798.2024286264781,,20.0,20.0,163,360,0.5472222222222223,10.13466569694936
physics_no_cross,3,one_step,1,t_in,3.0766619502797563,2.2018308306647447,-0.02820192359818141,,,43,54,0.20370370370370372,41.91494635744907
physics_no_cross,3,one_step,1,co2,118.43450118631858,86.6768521593989,0.5459849033675396,,,43,54,0.20370370370370372,41.91494635744907
physics_no_cross,3,one_step,1,rh,4.914194695454949,3.623184510270393,0.4408924148330583,,,43,54,0.20370370370370372,41.91494635744907
physics_no_cross,3,rollout,4,t_in,3.3545415555245808,2.480753673876063,,0.0,20.0,43,54,0.20370370370370372,41.91494635744907
physics_no_cross,3,rollout,4,co2,150.65538527520553,115.2726823590646,,0.0,20.0,43,54,0.20370370370370372,41.91494635744907
physics_no_cross,3,rollout,4,rh,4.921975100113597,3.504299870716717,,0.0,20.0,43,54,0.20370370370370372,41.91494635744907
physics_no_cross,3,rollout,20,t_in,472.1142463753988,33.01476059092566,,2.0,20.0,43,54,0.20370370370370372,41.91494635744907
physics_no_cross,3,rollout,20,co2,3940.8664885799535,485.40300937571874,,2.0,20.0,43,54,0.20370370370370372,41.91494635744907
physics_no_cross,3,rollout,20,rh,188.77035529614446,20.460894076676293,,2.0,20.0,43,54,0.20370370370370372,41.91494635744907
physics_no_cross,3,rollout,96,t_in,1850.7434280246787,51.28456329276977,,5.0,20.0,43,54,0.20370370370370372,41.91494635744907
physics_no_cross,3,rollout,96,co2,14231.339147034078,620.8358986203186,,5.0,20.0,43,54,0.20370370370370372,41.91494635744907
physics_no_cross,3,rollout,96,rh,210.93112846618166,14.934718536382366,,5.0,20.0,43,54,0.20370370370370372,41.91494635744907
physics_full,3,one_step,1,t_in,3.1130104199203985,2.295072406504994,-0.05264031653098167,,,51,66,0.2272727272727273,159.88831508594924
physics_full,3,one_step,1,co2,117.47533080854141,81.35866286972691,0.5533090262586533,,,51,66,0.2272727272727273,159.88831508594924
physics_full,3,one_step,1,rh,5.280497843505953,3.851111191557586,0.35443436204675083,,,51,66,0.2272727272727273,159.88831508594924
physics_full,3,rollout,4,t_in,8.547573412278211,4.605039814536552,,0.0,20.0,51,66,0.2272727272727273,159.88831508594924
physics_full,3,rollout,4,co2,587.912568904152,247.28000490734377,,0.0,20.0,51,66,0.2272727272727273,159.88831508594924
physics_full,3,rollout,4,rh,17.48919356725364,7.599208493832085,,0.0,20.0,51,66,0.2272727272727273,159.88831508594924
physics_full,3,rollout,20,t_in,71.2044622844635,27.463878506782727,,5.0,20.0,51,66,0.2272727272727273,159.88831508594924
physics_full,3,rollout,20,co2,6591.376929087729,2466.644051179569,,5.0,20.0,51,66,0.2272727272727273,159.88831508594924
physics_full,3,rollout,20,rh,183.02119450049037,69.57108946173345,,5.0,20.0,51,66,0.2272727272727273,159.88831508594924
physics_full,3,rollout,96,t_in,83.26747759580567,33.9056646088687,,18.0,20.0,51,66,0.2272727272727273,159.88831508594924
physics_full,3,rollout,96,co2,8035.061142694986,3286.186134786056,,18.0,20.0,51,66,0.2272727272727273,159.88831508594924
physics_full,3,rollout,96,rh,221.03254691680087,90.58325796682685,,18.0,20.0,51,66,0.2272727272727273,159.88831508594924
raw_linear,7,one_step,1,t_in,2.171267670538906,1.5732646327591076,0.48791083995523576,,,26,45,0.4222222222222223,7.597599363380221
raw_linear,7,one_step,1,co2,95.10599586350767,70.96975764424526,0.7072279468121754,,,26,45,0.4222222222222223,7.597599363380221
raw_linear,7,one_step,1,rh,4.883649806933737,3.4158849694839386,0.44782124240347887,,,26,45,0.4222222222222223,7.597599363380221
raw_linear,7,rollout,4,t_in,2.349628945741854,1.790544505656437,,0.0,20.0,26,45,0.4222222222222223,7.597599363380221
raw_linear,7,rollout,4,co2,118.54004983665584,90.64819235051985,,0.0,20.0,26,45,0.4222222222222223,7.597599363380221
raw_linear,7,rollout,4,rh,4.962259030190472,3.4319835195427038,,0.0,20.0,26,45,0.4222222222222223,7.597599363380221
raw_linear,7,rollout,20,t_in,3.43895061192656,2.5252401495424874,,0.0,20.0,26,45,0.4222222222222223,7.597599363380221
raw_linear,7,rollout,20,co2,316.71969681965476,214.18557401558985,,0.0,20.0,26,45,0.4222222222222223,7.597599363380221
raw_linear,7,rollout,20,rh,6.4560701633242745,4.888012157589611,,0.0,20.0,26,45,0.4222222222222223,7.597599363380221
raw_linear,7,rollout,96,t_in,3.1959609584310034,2.3004324461157237,,0.0,20.0,26,45,0.4222222222222223,7.597599363380221
raw_linear,7,rollout,96,co2,324.4533691991413,221.26601307428484,,0.0,20.0,26,45,0.4222222222222223,7.597599363380221
raw_linear,7,rollout,96,rh,6.98466054391447,5.501963180023662,,0.0,20.0,26,45,0.4222222222222223,7.597599363380221
raw_quadratic,7,one_step,1,t_in,1.8567171798850417,1.2253910907965218,0.6255357494404576,,,93,360,0.7416666666666667,7.597599363380221
raw_quadratic,7,one_step,1,co2,67.63038847142832,43.1674299309091,0.8519536898929021,,,93,360,0.7416666666666667,7.597599363380221
raw_quadratic,7,one_step,1,rh,7.561349466051019,3.951249481203845,-0.3236991426832263,,,93,360,0.7416666666666667,7.597599363380221
raw_quadratic,7,rollout,4,t_in,2.367081669415395,1.7683065019514181,,0.0,20.0,93,360,0.7416666666666667,7.597599363380221
raw_quadratic,7,rollout,4,co2,71.39319096778375,48.170255045557276,,0.0,20.0,93,360,0.7416666666666667,7.597599363380221
raw_quadratic,7,rollout,4,rh,7.421974274645636,4.3099584305619,,0.0,20.0,93,360,0.7416666666666667,7.597599363380221
raw_quadratic,7,rollout,20,t_in,38895.83989556769,2283.260035229371,,2.0,20.0,93,360,0.7416666666666667,7.597599363380221
raw_quadratic,7,rollout,20,co2,876.7004313828286,160.02382488930454,,2.0,20.0,93,360,0.7416666666666667,7.597599363380221
raw_quadratic,7,rollout,20,rh,48.14865405025825,10.891950256922547,,2.0,20.0,93,360,0.7416666666666667,7.597599363380221
raw_quadratic,7,rollout,96,t_in,14384.883632222018,448.3591373137688,,6.0,20.0,93,360,0.7416666666666667,7.597599363380221
raw_quadratic,7,rollout,96,co2,2966.0767413263957,214.12956677753067,,6.0,20.0,93,360,0.7416666666666667,7.597599363380221
raw_quadratic,7,rollout,96,rh,34.236950214336964,8.798887599035012,,6.0,20.0,93,360,0.7416666666666667,7.597599363380221
physics_no_cross,7,one_step,1,t_in,2.9881750092175463,2.133008567999123,0.030091177977768502,,,36,54,0.33333333333333337,39.935657503512466
physics_no_cross,7,one_step,1,co2,115.56712234675555,83.96904026588308,0.5677028004141604,,,36,54,0.33333333333333337,39.935657503512466
physics_no_cross,7,one_step,1,rh,5.048893868196707,3.6516147127354373,0.40982181869563783,,,36,54,0.33333333333333337,39.935657503512466
physics_no_cross,7,rollout,4,t_in,3.481974165123654,2.5095709290021837,,0.0,20.0,36,54,0.33333333333333337,39.935657503512466
physics_no_cross,7,rollout,4,co2,151.82888676153976,109.26840028794788,,0.0,20.0,36,54,0.33333333333333337,39.935657503512466
physics_no_cross,7,rollout,4,rh,5.169207848632987,3.644028596357117,,0.0,20.0,36,54,0.33333333333333337,39.935657503512466
physics_no_cross,7,rollout,20,t_in,29.911994381657703,8.441841449670687,,2.0,20.0,36,54,0.33333333333333337,39.935657503512466
physics_no_cross,7,rollout,20,co2,854.1707705956409,362.96626482431674,,2.0,20.0,36,54,0.33333333333333337,39.935657503512466
physics_no_cross,7,rollout,20,rh,35.40972274143451,10.202110609848837,,2.0,20.0,36,54,0.33333333333333337,39.935657503512466
physics_no_cross,7,rollout,96,t_in,30.737211719655413,7.590589867480105,,7.0,20.0,36,54,0.33333333333333337,39.935657503512466
physics_no_cross,7,rollout,96,co2,803.5729114662631,304.45515123937184,,7.0,20.0,36,54,0.33333333333333337,39.935657503512466
physics_no_cross,7,rollout,96,rh,37.08404569698175,10.520591648753669,,7.0,20.0,36,54,0.33333333333333337,39.935657503512466
physics_full,7,one_step,1,t_in,2.896139057192928,2.0599562714792676,0.08891756887188373,,,40,66,0.3939393939393939,115.5971476323387
physics_full,7,one_step,1,co2,104.36898906040412,73.10416980887574,0.6474207276696675,,,40,66,0.3939393939393939,115.5971476323387
physics_full,7,one_step,1,rh,5.117885408291698,3.694736043516149,0.3935824216068997,,,40,66,0.3939393939393939,115.5971476323387
physics_full,7,rollout,4,t_in,3.9207157244409925,2.7715768734567625,,0.0,20.0,40,66,0.3939393939393939,115.5971476323387
physics_full,7,rollout,4,co2,208.67380444407902,137.40652298070026,,0.0,20.0,40,66,0.3939393939393939,115.5971476323387
physics_full,7,rollout,4,rh,7.7084705618058305,5.0337230354917,,0.0,20.0,40,66,0.3939393939393939,115.5971476323387
physics_full,7,rollout,20,t_in,1841.4711670814795,103.56788768407746,,2.0,20.0,40,66,0.3939393939393939,115.5971476323387
physics_full,7,rollout,20,co2,30077.521658405134,1974.8049960552582,,2.0,20.0,40,66,0.3939393939393939,115.5971476323387
physics_full,7,rollout,20,rh,4244.7373469120585,235.71020007158177,,2.0,20.0,40,66,0.3939393939393939,115.5971476323387
physics_full,7,rollout,96,t_in,341.279137546683,19.81579090333764,,8.0,20.0,40,66,0.3939393939393939,115.5971476323387
physics_full,7,rollout,96,co2,5599.415325773307,664.1571146775372,,8.0,20.0,40,66,0.3939393939393939,115.5971476323387
physics_full,7,rollout,96,rh,777.2218573856173,46.29728184215478,,8.0,20.0,40,66,0.3939393939393939,115.5971476323387
raw_linear,14,one_step,1,t_in,1.9345712128483965,1.366893472843962,0.5934740316718623,,,25,45,0.4444444444444444,7.281751398821448
raw_linear,14,one_step,1,co2,91.39765655408526,67.8461366010353,0.7296141597043702,,,25,45,0.4444444444444444,7.281751398821448
raw_linear,14,one_step,1,rh,4.649145653012485,3.129334039208315,0.49957733501842694,,,25,45,0.4444444444444444,7.281751398821448
raw_linear,14,rollout,4,t_in,2.046423090002739,1.5374021686290091,,0.0,20.0,25,45,0.4444444444444444,7.281751398821448
raw_linear,14,rollout,4,co2,110.17489842027952,82.68656530112057,,0.0,20.0,25,45,0.4444444444444444,7.281751398821448
raw_linear,14,rollout,4,rh,4.449696678981155,3.1637623019662846,,0.0,20.0,25,45,0.4444444444444444,7.281751398821448
raw_linear,14,rollout,20,t_in,2.7399985955269646,2.000128425680461,,0.0,20.0,25,45,0.4444444444444444,7.281751398821448
raw_linear,14,rollout,20,co2,290.7961160754932,195.4033949135518,,0.0,20.0,25,45,0.4444444444444444,7.281751398821448
raw_linear,14,rollout,20,rh,7.085536472386669,5.424417694382363,,0.0,20.0,25,45,0.4444444444444444,7.281751398821448
raw_linear,14,rollout,96,t_in,2.454654065892099,1.7573490612486107,,0.0,20.0,25,45,0.4444444444444444,7.281751398821448
raw_linear,14,rollout,96,co2,309.499638806942,205.3490120036803,,0.0,20.0,25,45,0.4444444444444444,7.281751398821448
raw_linear,14,rollout,96,rh,7.970637139299989,6.208298813940186,,0.0,20.0,25,45,0.4444444444444444,7.281751398821448
raw_quadratic,14,one_step,1,t_in,1.697566500831212,1.069898738743838,0.6869797429242878,,,84,360,0.7666666666666666,7.281751398821448
raw_quadratic,14,one_step,1,co2,58.90959500194869,39.41796630746495,0.8876725506131817,,,84,360,0.7666666666666666,7.281751398821448
raw_quadratic,14,one_step,1,rh,8.60946940903239,5.0418289621381485,-0.716103357838543,,,84,360,0.7666666666666666,7.281751398821448
raw_quadratic,14,rollout,4,t_in,1.9996088182332141,1.3714504056968655,,0.0,20.0,84,360,0.7666666666666666,7.281751398821448
raw_quadratic,14,rollout,4,co2,62.2705206357602,43.09770788476105,,0.0,20.0,84,360,0.7666666666666666,7.281751398821448
raw_quadratic,14,rollout,4,rh,9.48092421300055,5.897970720869853,,0.0,20.0,84,360,0.7666666666666666,7.281751398821448
raw_quadratic,14,rollout,20,t_in,2.448026724288521,1.668248987402754,,0.0,20.0,84,360,0.7666666666666666,7.281751398821448
raw_quadratic,14,rollout,20,co2,114.88079201543961,81.18050349398467,,0.0,20.0,84,360,0.7666666666666666,7.281751398821448
raw_quadratic,14,rollout,20,rh,12.491460371827557,7.932560877064833,,0.0,20.0,84,360,0.7666666666666666,7.281751398821448
raw_quadratic,14,rollout,96,t_in,2.4279075572799313,1.6722883453213222,,0.0,20.0,84,360,0.7666666666666666,7.281751398821448
raw_quadratic,14,rollout,96,co2,123.09609632506674,88.09141460029197,,0.0,20.0,84,360,0.7666666666666666,7.281751398821448
raw_quadratic,14,rollout,96,rh,12.403624737581167,8.396352063438856,,0.0,20.0,84,360,0.7666666666666666,7.281751398821448
physics_no_cross,14,one_step,1,t_in,1.821050763092857,1.2807403114334919,0.6397840364347962,,,37,54,0.31481481481481477,36.35618920012876
physics_no_cross,14,one_step,1,co2,89.19502412964884,65.64015071121554,0.742489419358756,,,37,54,0.31481481481481477,36.35618920012876
physics_no_cross,14,one_step,1,rh,4.129670173286765,2.793575535130221,0.6051597660310292,,,37,54,0.31481481481481477,36.35618920012876
physics_no_cross,14,rollout,4,t_in,2.001933842545061,1.4965106309276712,,0.0,20.0,37,54,0.31481481481481477,36.35618920012876
physics_no_cross,14,rollout,4,co2,104.95704251641203,76.97291536016198,,0.0,20.0,37,54,0.31481481481481477,36.35618920012876
physics_no_cross,14,rollout,4,rh,4.3639637157215185,3.072955833129518,,0.0,20.0,37,54,0.31481481481481477,36.35618920012876
physics_no_cross,14,rollout,20,t_in,3.04408109749453,2.047400028456823,,0.0,20.0,37,54,0.31481481481481477,36.35618920012876
physics_no_cross,14,rollout,20,co2,260.4901934565276,177.53244261548076,,0.0,20.0,37,54,0.31481481481481477,36.35618920012876
physics_no_cross,14,rollout,20,rh,6.791075647262594,4.817265218488786,,0.0,20.0,37,54,0.31481481481481477,36.35618920012876
physics_no_cross,14,rollout,96,t_in,2.9932528047380167,1.917332646918749,,0.0,20.0,37,54,0.31481481481481477,36.35618920012876
physics_no_cross,14,rollout,96,co2,286.30526640648117,189.12648907822305,,0.0,20.0,37,54,0.31481481481481477,36.35618920012876
physics_no_cross,14,rollout,96,rh,9.039524937037521,5.545648626160668,,0.0,20.0,37,54,0.31481481481481477,36.35618920012876
physics_full,14,one_step,1,t_in,1.6929735554209109,1.2045274409740219,0.6886712702348737,,,51,66,0.2272727272727273,109.66774966161586
physics_full,14,one_step,1,co2,81.49560657580714,56.9799828117982,0.785027841764059,,,51,66,0.2272727272727273,109.66774966161586
physics_full,14,one_step,1,rh,4.026311542902033,2.719371643327905,0.6246767927160335,,,51,66,0.2272727272727273,109.66774966161586
physics_full,14,rollout,4,t_in,2.2820906454742933,1.707554933066104,,0.0,20.0,51,66,0.2272727272727273,109.66774966161586
physics_full,14,rollout,4,co2,144.03599544014133,100.3164834330308,,0.0,20.0,51,66,0.2272727272727273,109.66774966161586
physics_full,14,rollout,4,rh,4.682239687972188,3.480176631740554,,0.0,20.0,51,66,0.2272727272727273,109.66774966161586
physics_full,14,rollout,20,t_in,2.8936257467394433,2.185263370903479,,0.0,20.0,51,66,0.2272727272727273,109.66774966161586
physics_full,14,rollout,20,co2,244.48121475639823,174.37300474880922,,0.0,20.0,51,66,0.2272727272727273,109.66774966161586
physics_full,14,rollout,20,rh,7.479879108825146,5.534874443424294,,0.0,20.0,51,66,0.2272727272727273,109.66774966161586
physics_full,14,rollout,96,t_in,22.643202837691597,4.651404914017662,,3.0,20.0,51,66,0.2272727272727273,109.66774966161586
physics_full,14,rollout,96,co2,1020.3184860831044,298.25280880225927,,3.0,20.0,51,66,0.2272727272727273,109.66774966161586
physics_full,14,rollout,96,rh,96.49420021843,17.870661165856692,,3.0,20.0,51,66,0.2272727272727273,109.66774966161586
raw_linear,30,one_step,1,t_in,1.6895590368240123,1.2593899391696926,0.6899258270189534,,,29,45,0.3555555555555555,6.785033584184533
raw_linear,30,one_step,1,co2,84.65688023975775,65.69602820605635,0.768026517035088,,,29,45,0.3555555555555555,6.785033584184533
raw_linear,30,one_step,1,rh,4.332379342665788,2.987230205598858,0.5654461325868307,,,29,45,0.3555555555555555,6.785033584184533
raw_linear,30,rollout,4,t_in,2.0847916641413646,1.6247375146510141,,0.0,20.0,29,45,0.3555555555555555,6.785033584184533
raw_linear,30,rollout,4,co2,102.691514867949,83.02983113808203,,0.0,20.0,29,45,0.3555555555555555,6.785033584184533
raw_linear,30,rollout,4,rh,4.199550375699266,3.096326036512119,,0.0,20.0,29,45,0.3555555555555555,6.785033584184533
raw_linear,30,rollout,20,t_in,2.1192867148114973,1.669076258323505,,0.0,20.0,29,45,0.3555555555555555,6.785033584184533
raw_linear,30,rollout,20,co2,172.84997635231036,133.62784836307534,,0.0,20.0,29,45,0.3555555555555555,6.785033584184533
raw_linear,30,rollout,20,rh,5.3189648685545645,3.9293583830632715,,0.0,20.0,29,45,0.3555555555555555,6.785033584184533
raw_linear,30,rollout,96,t_in,1.923265103517101,1.4656445453700804,,0.0,20.0,29,45,0.3555555555555555,6.785033584184533
raw_linear,30,rollout,96,co2,170.98621914823448,129.67928074443554,,0.0,20.0,29,45,0.3555555555555555,6.785033584184533
raw_linear,30,rollout,96,rh,5.756717960983829,4.287860477282506,,0.0,20.0,29,45,0.3555555555555555,6.785033584184533
raw_quadratic,30,one_step,1,t_in,0.9012997661908487,0.6773070760878847,0.9117616521845716,,,90,360,0.75,6.785033584184533
raw_quadratic,30,one_step,1,co2,48.937576954989424,36.69404697636563,0.9224826802373658,,,90,360,0.75,6.785033584184533
raw_quadratic,30,one_step,1,rh,2.702672352673304,1.7985474202772904,0.8308868166931368,,,90,360,0.75,6.785033584184533
raw_quadratic,30,rollout,4,t_in,1.325468329881635,0.9927241350957303,,0.0,20.0,90,360,0.75,6.785033584184533
raw_quadratic,30,rollout,4,co2,59.98158205035771,45.881558946707244,,0.0,20.0,90,360,0.75,6.785033584184533
raw_quadratic,30,rollout,4,rh,3.028476010174934,2.162393134642676,,0.0,20.0,90,360,0.75,6.785033584184533
raw_quadratic,30,rollout,20,t_in,1.2942207729595303,1.0158351485864718,,0.0,20.0,90,360,0.75,6.785033584184533
raw_quadratic,30,rollout,20,co2,90.19724055521196,71.28703039211494,,0.0,20.0,90,360,0.75,6.785033584184533
raw_quadratic,30,rollout,20,rh,3.450726576412126,2.5832384567552604,,0.0,20.0,90,360,0.75,6.785033584184533
raw_quadratic,30,rollout,96,t_in,1.3053968471419422,1.0260511214172054,,0.0,20.0,90,360,0.75,6.785033584184533
