method,budget_days,horizon,co2,rh,t_in
physics_full,3,4,587.912568904152,17.48919356725364,8.547573412278211
physics_full,3,20,6591.376929087729,183.02119450049037,71.2044622844635
physics_full,3,96,8035.061142694986,221.03254691680087,83.26747759580567
physics_full,7,4,208.67380444407902,7.7084705618058305,3.9207157244409925
physics_full,7,20,30077.521658405134,4244.7373469120585,1841.4711670814795
physics_full,7,96,5599.415325773307,777.2218573856173,341.279137546683
physics_full,14,4,144.03599544014133,4.682239687972188,2.2820906454742933
physics_full,14,20,244.48121475639823,7.479879108825146,2.8936257467394433
physics_full,14,96,1020.3184860831044,96.49420021843,22.643202837691597
physics_full,30,4,126.30378168778225,5.7462933966632335,2.335802016681354
physics_full,30,20,787.6287993137914,107.62523683428971,21.219404962742814
physics_full,30,96,1800.6875623240367,204.75345827400122,46.129957476193454
physics_full,60,4,103.03137623214947,4.8355395501383915,2.13396269071507
physics_full,60,20,162.0620443248942,7.513196575450357,2.7861316099606737
physics_full,60,96,595.2302021351971,160.76988648902525,32.48333504521924
physics_no_cross,3,4,150.65538527520553,4.921975100113597,3.3545415555245808
physics_no_cross,3,20,3940.8664885799535,188.77035529614446,472.1142463753988
physics_no_cross,3,96,14231.339147034078,210.93112846618166,1850.7434280246787
physics_no_cross,7,4,151.82888676153976,5.169207848632987,3.481974165123654
physics_no_cross,7,20,854.1707705956409,35.40972274143451,29.911994381657703
physics_no_cross,7,96,803.5729114662631,37.08404569698175,30.737211719655413
physics_no_cross,14,4,104.95704251641203,4.3639637157215185,2.001933842545061
physics_no_cross,14,20,260.4901934565276,6.791075647262594,3.04408109749453
physics_no_cross,14,96,286.30526640648117,9.039524937037521,2.9932528047380167
physics_no_cross,30,4,96.66945286536547,4.32780797025587,2.064438454920452
physics_no_cross,30,20,150.1452832460463,5.023691757900928,2.0941997702491584
physics_no_cross,30,96,508.99480137777203,42.804508891037685,9.161800686920214
physics_no_cross,60,4,100.43527945827759,4.441892518539336,2.1117281605097675
physics_no_cross,60,20,167.2619863302604,5.142225200632447,2.149761227740514
physics_no_cross,60,96,187.70135461753,6.518425010921022,2.074732582695926
raw_linear,3,4,159.80832557775912,4.857697709342929,3.088267311479347
raw_linear,3,20,375.92118576767564,6.247596623134181,4.297173216310699
raw_linear,3,96,383.7700508305064,6.425654785976736,4.099810700588774
raw_linear,7,4,118.54004983665584,4.962259030190472,2.349628945741854
raw_linear,7,20,316.71969681965476,6.4560701633242745,3.43895061192656
raw_linear,7,96,324.4533691991413,6.98466054391447,3.1959609584310034
raw_linear,14,4,110.17489842027952,4.449696678981155,2.046423090002739
raw_linear,14,20,290.7961160754932,7.085536472386669,2.7399985955269646
raw_linear,14,96,309.499638806942,7.970637139299989,2.454654065892099
raw_linear,30,4,102.691514867949,4.199550375699266,2.0847916641413646
raw_linear,30,20,172.84997635231036,5.3189648685545645,2.1192867148114973
raw_linear,30,96,170.98621914823448,5.756717960983829,1.923265103517101
raw_linear,60,4,104.97579380729968,4.5023462487716595,2.0567395791704177
raw_linear,60,20,193.54190764212328,5.872939598788376,2.079408738428239
raw_linear,60,96,191.76183276659125,6.282986986622419,1.9059250081499364
raw_quadratic,3,4,376.66274029635986,27.43145267605419,19.613567785091195
raw_quadratic,3,20,67959.57004949417,3828.6183520739733,5710.161231955132
raw_quadratic,3,96,88269.52805451443,4948.679227232811,7341.130591182561
raw_quadratic,7,4,71.39319096778375,7.421974274645636,2.367081669415395
raw_quadratic,7,20,876.7004313828286,48.14865405025825,38895.83989556769
raw_quadratic,7,96,2966.0767413263957,34.236950214336964,14384.883632222018
raw_quadratic,14,4,62.2705206357602,9.48092421300055,1.9996088182332141
raw_quadratic,14,20,114.88079201543961,12.491460371827557,2.448026724288521
raw_quadratic,14,96,123.09609632506674,12.403624737581167,2.4279075572799313
raw_quadratic,30,4,59.98158205035771,3.028476010174934,1.325468329881635
raw_quadratic,30,20,90.19724055521196,3.450726576412126,1.2942207729595303
raw_quadratic,30,96,97.18812886244278,4.368515315957669,1.3053968471419422
raw_quadratic,60,4,58.57497975423899,3.1856125455052946,1.3479563156065584
raw_quadratic,60,20,95.54484946936552,4.917305001037546,2.187331259715471
raw_quadratic,60,96,118.39778037217317,6.616740045094658,2.2397902179752114
