family,condition,seed,feature_variant,xi_uboil,xi_t_uboil,xi_uboil_baseline,xi_uboil_greybox,secs,epi,viol,t_in_in_corridor_pct,t_in_violation_steps,boiler_sum,solver_failures
main,baseline,0,physics_no_cross,0.0,,0.0,0.0319361694618097,67.3,0.1885465474737031,7432,44.513888888888886,3196,1498.8890550574715,0
main,knockout,0,physics_no_cross,0.0,,0.0,0.0319361694618097,75.8,0.1885465474737031,7432,44.513888888888886,3196,1498.8890550574715,0
main,knockin,0,physics_no_cross,0.0319361694618097,,0.0,0.0319361694618097,73.1,3.192559824424503,7272,46.64930555555556,3073,1549.2793908785382,0
interaction,phys_baseline,0,physics,0.0604440416495206,0.0,0.0604440416495206,,78.9,2.3615502706750786,5210,49.91319444444444,2885,1503.5306723351664,0
interaction,phys_ko_uboil_alone,0,physics,0.0,0.0,0.0604440416495206,,95.5,-3.604357831531008,8560,30.711805555555557,3991,72.13259281705557,0
interaction,phys_ko_uboil_and_cross,0,physics,0.0,0.0,0.0604440416495206,,92.9,-3.604357831531008,8560,30.711805555555557,3991,72.13259281705557,0
main,baseline,1,physics_no_cross,0.0,,0.0,0.0314990715740138,69.4,-5.537458808620701,7138,39.67013888888889,3475,1461.9290565862627,0
main,knockout,1,physics_no_cross,0.0,,0.0,0.0314990715740138,79.2,-5.537458808620701,7138,39.67013888888889,3475,1461.9290565862627,0
main,knockin,1,physics_no_cross,0.0314990715740138,,0.0,0.0314990715740138,70.1,-2.353047103887401,7401,42.951388888888886,3286,1515.5171181363849,0
interaction,phys_baseline,1,physics,0.1470477880333719,-0.0829081261409913,0.1470477880333719,,68.1,4.746663222817929,3605,59.28819444444444,2345,1884.49805863238,0
interaction,phys_ko_uboil_alone,1,physics,0.0,-0.0829081261409913,0.1470477880333719,,76.1,-0.4482288741686826,6805,32.916666666666664,3864,1860.0752768700272,0
interaction,phys_ko_uboil_and_cross,1,physics,0.0,0.0,0.1470477880333719,,69.1,2.609845908801756,4384,49.91319444444444,2885,1764.4971600681952,0
main,baseline,10,physics_no_cross,0.0,,0.0,0.015244945799286,66.9,-0.9457699633466048,4616,48.62847222222222,2959,1701.250024189409,0
main,knockout,10,physics_no_cross,0.0,,0.0,0.015244945799286,74.2,-0.9457699633466048,4616,48.62847222222222,2959,1701.250024189409,0
main,knockin,10,physics_no_cross,0.015244945799286,,0.0,0.015244945799286,77.7,3.8430478716403074,4232,57.37847222222222,2455,1675.1966945738393,0
interaction,phys_baseline,10,physics,0.0,0.0,0.0,,73.3,2.9926091552323517,4769,53.52430555555555,2677,1712.919054516071,0
interaction,phys_ko_uboil_alone,10,physics,0.0,0.0,0.0,,73.7,2.9926091552323517,4769,53.52430555555555,2677,1712.919054516071,0
interaction,phys_ko_uboil_and_cross,10,physics,0.0,0.0,0.0,,73.2,2.9926091552323517,4769,53.52430555555555,2677,1712.919054516071,0
main,baseline,11,physics_no_cross,0.0,,0.0,0.0266415141860997,66.8,-1.4185348501657264,5260,43.78472222222222,3238,1576.7946591046657,0
main,knockout,11,physics_no_cross,0.0,,0.0,0.0266415141860997,72.7,-1.4185348501657264,5260,43.78472222222222,3238,1576.7946591046657,0
main,knockin,11,physics_no_cross,0.0266415141860997,,0.0,0.0266415141860997,73.5,1.9532512804455373,4959,47.864583333333336,3003,1603.4318787533634,0
