steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,method,seed,test_year,secs
5697,2.7101904126309053,17.67503365396426,14.964843241333352,7.6806457264019965,2.635070816692174,4.649126698239183,718048.242192298,85.3405080711333,15.49708899413061,8.783569388973914,73.70545901351588,1498,2477.0213413238525,100.0,0,0.0,69.3522906793049,1746,3856.8020362854,3244,2625.861787779035,534.3823787917622,1951.9043087352447,734.7228470409092,10,oracle_mpc,0,2020,4060.5
5760,-6.483060149648848,16.375142497425998,22.858202647074844,8.747231736587175,2.527546948964619,11.583423961523051,665240.1639579311,97.1914637398575,38.61141320507684,8.42515649654873,76.05902777777777,1379,2159.865050315857,100.0,0,0.0,54.44444444444444,2624,5957.049812316895,4003,2990.5065752137457,1331.4280411539476,1872.2570000329915,762.576056307377,5,oracle_mpc,0,2021,4069.4
5214,-0.698531551846606,14.936906628460823,15.635438180307432,7.677297209803854,2.2087781535950035,5.749362816908575,606811.8317812211,85.30330233115393,19.164542723028585,7.362593845316678,75.9493670886076,1254,1957.207019805908,100.0,0,0.0,64.51860375911009,1850,4082.528739929199,3104,2624.716994220397,660.8463007546828,1636.1319649280467,672.0471611148265,10,oracle_mpc,0,2022,3763.7
5760,-3.623667260171769,16.141146199653956,19.764813459825724,7.598876977869797,2.771281682318528,9.3946547996374,655734.064360942,84.43196642077552,31.315515998791337,9.237605607728428,80.48611111111111,1124,1560.9107551574707,100.0,0,0.0,53.21180555555556,2695,7019.910572052002,3819,2597.9066582370115,1079.8453793902856,2052.8012458023386,851.6256007280413,5,oracle_mpc,0,2023,3905.4
5689,2.6812389473486693,17.72107182536869,15.039832878020018,7.667676691127493,2.608124037396196,4.76403214949633,719918.542905603,85.19640767919437,15.880107164987768,8.693746791320653,73.31692740376164,1518,2527.329058647156,100.0,0,0.0,69.53770434171209,1733,4035.65421295166,3251,2621.427928983866,547.5899024887698,1931.94373169004,723.7262759764662,10,oracle_mpc,1,2020,4182.1
5760,-6.294165275528038,16.488891535223516,22.783056810751557,8.68879119505354,2.5214660342168638,11.57279958148115,669861.2186184553,96.54212438948376,38.57599860493717,8.404886780722878,75.27777777777777,1424,2378.831853866577,100.0,0,0.0,53.95833333333333,2652,6109.447593688965,4076,2970.5269029376573,1330.206848225734,1867.7526163940572,757.8665876490827,4,oracle_mpc,1,2021,4112.5
5211,-0.5199332564788299,14.97603234646931,15.49596560294814,7.634606289502773,2.217129197023945,5.644230116421422,608401.3140753157,84.82895877225305,18.81410038807141,7.390430656746485,76.66474764920362,1216,2023.4547243118288,100.0,0,0.0,64.690078679716,1840,4181.195240020752,3056,2610.1218077606936,648.7620826147097,1642.3179229839131,682.2806855709708,10,oracle_mpc,1,2022,3790.6
5760,-3.6929739784289017,16.083857208300113,19.77683118672901,7.637344297843272,2.751196116074215,9.388290772811526,653406.6990871921,84.85938108714747,31.294302576038422,9.170653720247383,79.46180555555556,1183,1854.3381843566892,100.0,0,0.0,54.045138888888886,2647,6834.883792877197,3830,2611.0578789185915,1079.1138817168844,2037.92304813173,843.7688128032959,6,oracle_mpc,1,2023,3936.6
3777,1.1265325165823743,11.678473791338018,10.551941274755643,5.488941187522246,1.6343171120597535,3.428682975173644,474437.997773107,60.98823541691385,11.428943250578811,5.447723706865846,71.45882975906804,1078,1780.6361675262451,100.0,0,0.0,68.7053216838761,1182,2846.713237762451,2260,1876.5610897282215,394.1014919012008,1210.6052683468895,471.7535237692008,10,oracle_mpc,10,2020,2720.3
5760,-6.504980354233967,16.460921067226657,22.96590142146062,8.705161587519298,2.5416942712576884,11.71904556268364,668724.918356083,96.72401763910332,39.063485208945465,8.472314237525628,75.92013888888889,1387,2168.283570289612,100.0,0,0.0,54.63541666666667,2613,6057.033416748047,4000,2976.1236205871546,1347.0167311718046,1882.7364960909235,756.6169671093733,5,oracle_mpc,10,2021,3842.4
5208,-0.6069882783254255,14.965027162303173,15.5720154406286,7.590048644801936,2.189541109886576,5.792425685940087,607954.2284685664,84.33387383113262,19.30808561980029,7.298470366288585,77.8609831029186,1153,1759.06112575531,100.0,0,0.0,63.59447004608296,1896,4318.300254821777,3049,2594.8884243867087,665.7960553422495,1621.882303661348,673.384657913231,10,oracle_mpc,10,2022,3546.8
5760,-3.613863530835197,16.227459754711006,19.841323285546203,7.542438350938911,2.7847316713607984,9.514153263246495,659240.5525351347,83.8048705659879,31.71384421082166,9.282438904535995,80.52083333333333,1122,1681.978967666626,100.0,0,0.0,53.09027777777777,2702,7034.982791900635,3824,2578.6114021065982,1093.5808350234174,2062.764200513481,847.9914367238495,7,oracle_mpc,10,2023,3692.7
4634,1.876256434237722,14.406776181544616,12.530519747306894,6.468567024440892,2.065162283906222,3.99679043895978,585275.28237525,71.87296693823214,13.3226347965326,6.883874279687407,72.16227880880449,1290,2164.933525085449,100.0,0,0.0,69.03323262839879,1435,3278.905616760254,2725,2211.475905601193,459.4012002307276,1529.7498388833878,588.5995674455639,10,oracle_mpc,11,2020,3291.7
