seed,n_samples,n_iters,cem_budget,probe_days,epi,viol,secs
0,48,2,96,14,0.2752641420798682,925,902.4
0,96,3,288,14,0.2588428935803104,1016,2651.5
3,96,3,288,14,0.2043653479395612,1022,2745.4
3,192,4,768,14,0.283560148771891,1166,6810.0
4,48,2,96,14,0.2055200569104964,916,919.8
4,96,3,288,14,0.1997193408416995,1054,2720.7
4,192,4,768,14,0.2648246859256845,1219,7119.0
5,48,2,96,14,0.2599307462561528,928,910.2
5,96,3,288,14,0.2660915304228691,1030,2717.5
5,192,4,768,14,0.2677540670543975,1187,6832.2
6,48,2,96,14,0.250374784314567,911,926.7
6,96,3,288,14,0.2287455184107149,999,2582.2
0,192,4,768,14,0.2970728050411921,1151,6810.3
6,192,4,768,14,0.2750464952027288,1211,7136.2
7,48,2,96,14,0.3394676731024022,877,926.8
7,96,3,288,14,0.2696036480313555,1021,2626.8
7,192,4,768,14,0.2721630376757478,1160,7009.0
1,48,2,96,14,0.2427178242204715,902,910.2
1,96,3,288,14,0.2200234551696654,1074,2627.4
1,192,4,768,14,0.2686510925798667,1173,7047.0
2,48,2,96,14,0.2530195771847049,916,898.3
2,96,3,288,14,0.235022741194583,1057,2662.6
2,192,4,768,14,0.3075632771057997,1152,7094.8
3,48,2,96,14,0.2710471977944169,875,902.2
