steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,block,condition,factor,value,seed,test_year,regen_id,config_hash,git_sha,image,nonzero,xi_uboil,rep
5760,5.925186319355129,14.323058801674438,8.39787248231931,4.758378922882054,3.511943936350834,0.12754962308642107,581874.2638180241,52.87087692091171,0.42516541028807026,11.706479787836113,52.53472222222222,2734,3301.242705345154,99.98263888888889,1,10.2283935546875,74.87847222222223,1447,2832.0824279785156,4182,1626.7962120520738,14.660876167921447,2601.4399521128134,1462.281485444983,0,5760,1.0,False,design,mpc_horizon=8,mpc_horizon,8.0,9,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,
5760,4.886652900297549,13.993046873966588,9.106393973669038,4.761934623527209,4.201872134062466,0.14258721607936353,568467.5292548926,52.91038470585787,0.4752907202645451,14.006240446874887,52.135416666666664,2757,3230.223381996155,90.83333333333333,528,111399.34729003906,75.0,1440,2643.7857627868652,4725,1628.0118365323724,16.38933522146794,3112.4978764707685,1459.6748909087905,0,5760,1.0,False,design,mpc_horizon=12,mpc_horizon,12.0,9,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,
5760,2.993054135197072,14.370188559509781,11.377134424312713,4.719286801774617,5.729770679862103,0.928076942675994,583788.910230085,52.43652001971797,3.0935898089199805,19.099235599540343,54.895833333333336,2598,2660.617919921875,59.61805555555556,2326,2982513.2231445312,68.87152777777777,1793,3482.712574005127,6717,1613.4313859801036,106.67551079192472,4244.274576068947,1445.0702751894146,0,5760,1.0,False,design,mpc_horizon=20,mpc_horizon,20.0,9,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,
5760,2.8352383707095603,14.617227071749028,11.781988701039467,4.73370864117641,6.055353112811716,0.9929269470513404,593824.8497898042,52.596762679737886,3.309756490171135,20.184510376039054,56.33680555555556,2515,2510.289710998535,56.770833333333336,2490,3534052.8850097656,66.54513888888889,1927,3792.2159004211426,6932,1618.3619287553422,114.1295340451631,4485.44674916153,1453.0402094016795,0,5760,1.0,False,design,mpc_horizon=30,mpc_horizon,30.0,9,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,
5760,3.0301454662428107,13.251856471569186,10.221711005326373,4.613667213578298,4.794064665812065,0.8139791259360121,538356.6691574982,51.262969039758865,2.7132637531200405,15.980215552706882,62.39583333333333,2166,2213.483154296875,63.020833333333336,2130,2407143.512573242,55.43402777777777,2567,5795.780139923096,6863,1577.3221250123752,93.56081920441892,3551.1590104508787,1492.429302514287,0,5760,1.0,False,design,stlsq_threshold=0.01,stlsq_threshold,0.01,9,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,42.0,0.026461358351139094,
5760,8.081993270905897,16.134212591005515,8.052219320099615,4.762911184822487,2.5288750677383556,0.7604330675387725,655452.3865095989,52.92123538691652,2.5347768917959086,8.429583559127853,57.65625,2439,3229.2013034820557,100.0,0,0.0,66.26736111111111,1943,4088.2358016967773,4382,1628.3457037049816,87.40609969189822,1873.2407909864714,1536.6169970111455,0,5760,1.0,False,design,stlsq_threshold=0.05,stlsq_threshold,0.05,9,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,29.0,0.0,
5760,2.3076675209131445,5.5546306633600775,3.2469631424469334,0.13911720717921852,2.395631940435937,0.712213994831778,225656.87069900316,1.5457467464357615,2.3740466494392605,7.985439801453124,32.708333333333336,3876,18557.71558189392,94.87847222222221,295,129266.69445800781,24.70486111111111,4337,32471.582553863525,8508,47.561438335671916,81.86367758138474,1774.5421772619973,1442.023650777152,0,5760,1.0,False,design,stlsq_threshold=0.1,stlsq_threshold,0.1,9,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,17.0,0.0,
5760,2.676532685275755,4.5096001315930145,1.833067446317259,0.27278413498713633,0.35791099011447836,1.2023723212156445,183202.5053459662,3.0309348331904036,4.007907737385482,1.1930366337149279,29.635416666666664,4053,18326.869955539703,89.63541666666667,597,930744.2106933594,25.104166666666668,4314,33013.173095703125,8964,93.25953315718462,138.20371493200395,265.1192518532054,1527.6787621121548,0,5760,1.0,False,design,stlsq_threshold=0.2,stlsq_threshold,0.2,9,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,12.0,0.0,
5760,3.789627242712688,14.554516804501596,10.764889561788907,4.659415786880644,5.888474074220911,0.21699970068735192,591277.2451828773,51.77128652089605,0.7233323356245064,19.628246914069702,53.17708333333333,2697,3165.358934402466,59.93055555555556,2308,977215.4284667969,72.65625,1575,3113.646697998047,6580,1592.962661851443,24.942494239086965,4361.832648368399,1372.484828461013,0,5760,1.0,False,design,coef_perturb=0.1,coef_perturb,0.1,9,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,0.0
5760,5.263807758127647,16.378308783448336,11.11450102532069,4.988565197912873,5.704760411382884,0.4211754160249324,665368.7943275886,55.428502199031925,1.4039180534164415,19.015868037942948,55.86805555555555,2542,2652.0376691818237,68.75,1800,1191468.814819336,64.54861111111111,2042,3764.6273307800293,6384,1705.492375657317,48.41096732294199,4225.748452761025,1409.812401826462,0,5760,1.0,False,design,coef_perturb=0.1,coef_perturb,0.1,9,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,1.0
5760,8.442835227903641,15.56116976913005,7.11833454122641,2.7581562592079907,3.398244923302811,0.9619333587156079,632172.5218709083,30.646180657866566,3.2064445290520265,11.327483077676037,46.84027777777778,3062,5359.119617462158,94.51388888888889,316,56271.73010253906,27.62152777777778,4169,15381.76294708252,7547,942.9594042613752,110.56705278694326,2517.218462566746,1328.222478286108,0,5760,1.0,False,design,coef_perturb=0.2,coef_perturb,0.2,9,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,0.0
5700,-33.540521447241986,2.376939893420321,35.917461340662314,10.97129541413178,6.553818708514253,18.392347218016273,96563.18317020056,121.90328237924201,61.307824060054244,21.84606236171418,66.50877192982456,1909,17030.874762535095,24.57894736842105,4299,37801809.18371582,87.33333333333333,722,3349.5265674591064,6930,3750.8702269785,2114.062898490097,4854.680524540649,1148.3234279165622,0,5760,0.9896,True,design,coef_perturb=0.2,coef_perturb,0.2,9,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,1.0
5760,6.501112059875573,16.011157695243888,9.510045635368312,6.03566210818554,3.3901543270001877,0.08422920018258402,650453.2813692829,67.06291231317267,0.2807640006086134,11.30051442333396,86.96180555555556,751,1750.3288760185242,99.89583333333333,6,394.777587890625,69.72222222222221,1744,3455.7383308410645,2501,2063.474226322115,9.681517330309177,2511.225428075759,1084.8850973898461,0,5760,1.0,False,design,coef_perturb=0.3,coef_perturb,0.3,9,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,0.0
5760,9.367583436991545,15.226879928994904,5.8592964920033594,2.9330927936002373,1.7854694123317103,1.1407342860714118,618591.997115418,32.589919928891526,3.8024476202380395,5.951564707772368,39.375,3492,7741.695598602295,100.0,0,0.0,27.500000000000004,4176,14989.36990737915,7668,1002.7667674506229,131.11888369928317,1322.5699352995812,952.2937519332987,0,5760,1.0,False,design,coef_perturb=0.3,coef_perturb,0.3,9,2020,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,1.0
