block,condition,seed,variant,degree,optimizer,denoise,n_days_train,regen_id,config_hash,git_sha,image,nonzero,kappa,rollout_rmse_t_in,diverged_frac,one_step_rmse_t_in,sign_pass,embeddable,secs
ladder,raw/d1/stlsq/none,13,raw,1,stlsq,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,19,8.261522230608529,2.6127569310873495,0.0,1.8749674427654666,,True,30.2
ladder,raw/d1/stlsq/savgol,13,raw,1,stlsq,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,9.542909495293687,5.085631217946668,0.0,3.1722922596462455,,True,28.8
ladder,raw/d1/stlsq/kalman,13,raw,1,stlsq,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,8.251740387435694,5.357677336543941,0.0,3.1752609243694545,,True,29.9
ladder,raw/d1/sr3/none,13,raw,1,sr3,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,6,8.261522230608529,4.259460614686809,0.0,2.5080719334512223,,True,29.1
ladder,raw/d1/sr3/savgol,13,raw,1,sr3,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,9.542909495293687,4.866872577051138,0.0,3.1482492582462243,,True,29.2
ladder,raw/d1/sr3/kalman,13,raw,1,sr3,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,8.251740387435694,5.210149394776759,0.0,3.17408727409181,,True,30.2
ladder,raw/d1/constrained/none,13,raw,1,constrained,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,6,8.261522230608529,4.259460614686809,0.0,2.5080719334512223,,True,29.6
ladder,raw/d1/constrained/savgol,13,raw,1,constrained,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,9.542909495293687,4.866872577051138,0.0,3.1482492582462243,,True,29.1
ladder,raw/d1/constrained/kalman,13,raw,1,constrained,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,8.251740387435694,5.210149394776759,0.0,3.17408727409181,,True,30.1
ladder,raw/d1/ensemble/none,13,raw,1,ensemble,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,19,8.261522230608529,2.618552048860217,0.0,1.8750297743527955,,True,30.5
ladder,raw/d1/ensemble/savgol,13,raw,1,ensemble,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,9.542909495293687,5.095713846172294,0.0,3.1724910858465774,,True,30.0
ladder,raw/d1/ensemble/kalman,13,raw,1,ensemble,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,8.251740387435694,5.30904781850573,0.0,3.1749368221006047,,True,30.8
ladder,raw/d2/stlsq/none,13,raw,2,stlsq,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,50,8.261522230608529,4.9225990013389325,0.15,1.0833051280993813,,False,145.5
ladder,raw/d2/stlsq/savgol,13,raw,2,stlsq,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,9.542909495293687,5.085631217946668,0.0,3.1722922596462455,,False,164.7
ladder,raw/d2/stlsq/kalman,13,raw,2,stlsq,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,8.251740387435694,5.357677336543941,0.0,3.1752609243694545,,False,167.9
ladder,raw/d2/sr3/none,13,raw,2,sr3,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,7,8.261522230608529,4.824374546115202,0.0,2.457468285201975,,False,163.6
ladder,raw/d2/sr3/savgol,13,raw,2,sr3,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,9.542909495293687,4.870097271670548,0.0,3.150290387821057,,False,164.7
ladder,raw/d2/sr3/kalman,13,raw,2,sr3,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,8.251740387435694,5.225560030217396,0.0,3.1742417178744637,,False,168.5
ladder,raw/d2/constrained/none,13,raw,2,constrained,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,7,8.261522230608529,4.824374546115202,0.0,2.457468285201975,,False,166.8
ladder,raw/d2/constrained/savgol,13,raw,2,constrained,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,9.542909495293687,4.870097271670548,0.0,3.150290387821057,,False,165.5
ladder,raw/d2/constrained/kalman,13,raw,2,constrained,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,8.251740387435694,5.225560030217396,0.0,3.1742417178744637,,False,167.7
ladder,raw/d2/ensemble/none,13,raw,2,ensemble,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,52,8.261522230608529,2.3183679032219606,0.05,1.084856920253957,,False,163.3
ladder,raw/d2/ensemble/savgol,13,raw,2,ensemble,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,9.542909495293687,5.093903248380448,0.0,3.172456374282518,,False,167.9
ladder,raw/d2/ensemble/kalman,13,raw,2,ensemble,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,8.251740387435694,5.444468593942758,0.0,3.1757412372752767,,False,171.5
ladder,physics/d1/stlsq/none,13,physics,1,stlsq,none,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,41,57.680606906271024,25.56614928806771,0.65,1.6906352115962586,,True,20.9
ladder,physics/d1/stlsq/savgol,13,physics,1,stlsq,savgol,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,46.82653072155335,5.085631217946668,0.0,3.1722922596462455,,True,38.9
ladder,physics/d1/stlsq/kalman,13,physics,1,stlsq,kalman,60,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,3,45.03716809303436,5.357677336543941,0.0,3.1752609243694545,,True,39.7
