steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,block,condition,oracle_horizon,seed,test_year,secs,regen_id,config_hash,git_sha,image,metric_scope,horizon,state,rmse,mae,r2,failed_rollouts,attempted_rollouts,recipe,xi_uboil,rng_seed,traj_steps
5760.0,2.916048290715694,18.001299901192866,15.085251610477172,7.639564842298273,2.641255976059874,4.804430792119023,731302.8084859601,84.88405380331415,16.01476930706341,8.804186586866248,73.99305555555556,1498.0,2433.228183746338,100.0,0.0,0.0,68.83680555555556,1795.0,4221.119426727295,3293.0,2611.8170402493033,552.2334244031379,1956.4859067901068,737.7862455134833,16.0,5760.0,1.0,False,horizon,h=12,12.0,3,2020,4393.3,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
5760.0,2.767978326671838,18.067098446277676,15.299120119605835,7.4824184056886995,2.6173077666602933,5.199393947256844,733975.8743800306,83.13798228543,17.331313157522814,8.724359222200977,80.83333333333333,1104.0,1749.6370372772217,100.0,0.0,0.0,69.91319444444444,1733.0,3977.1311416625977,2837.0,2558.0917626538376,597.6314876869144,1938.7464940021882,710.9351751625284,73.0,5760.0,1.0,False,horizon,h=20,20.0,3,2020,7171.8,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
3742.0,0.3110792272222292,12.068848170381678,11.757768943159448,5.407456067976758,1.6081955390322935,4.742117336150398,490296.9569217557,60.08284519974176,15.807057787167993,5.360651796774312,74.79957242116515,943.0,1865.6629123687744,100.0,0.0,0.0,70.95136290753608,1087.0,2499.06404876709,2030.0,1848.702929247897,545.0709589409065,1191.2559545517993,442.9053384391236,100.0,5760.0,0.6497,True,horizon,h=48,48.0,3,2020,10823.6,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
3539.0,-0.8790039449058925,11.583557223999183,12.462561168905074,5.436196524000001,1.6148693221578476,5.411495322747227,470582.0122249668,60.402183600000015,18.038317742490758,5.382897740526159,68.94602995196382,1099.0,2200.6669178009033,100.0,0.0,0.0,69.36987849675049,1084.0,2463.3032875061035,2183.0,1858.5287243615426,622.0109561956617,1196.1994977403733,460.5073638891997,100.0,5760.0,0.6144,True,horizon,h=96,96.0,3,2020,19107.7,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,3,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,one_step,1.0,t_in,1.9389246033302376,1.5313742476187513,0.8082515108336785,,,confirmatory,0.0,4174263774.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,3,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,one_step,1.0,co2,104.19011102583205,83.57588672394829,0.6850175414104016,,,confirmatory,0.0,4174263774.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,3,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,one_step,1.0,rh,6.381230858854627,4.602032888460059,0.6707616945137254,,,confirmatory,0.0,4174263774.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,3,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,4.0,t_in,2.480205609702049,2.0691927281261537,,0.0,20.0,confirmatory,0.0,4174263774.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,3,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,4.0,co2,128.4582651744076,100.24128752038332,,0.0,20.0,confirmatory,0.0,4174263774.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,3,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,4.0,rh,6.000747548335663,4.618980997057091,,0.0,20.0,confirmatory,0.0,4174263774.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,3,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,20.0,t_in,2.7776239299510315,2.2952353624274746,,0.0,20.0,confirmatory,0.0,4174263774.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,3,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,20.0,co2,226.07914392051546,178.51644251726265,,0.0,20.0,confirmatory,0.0,4174263774.0,5760.0
