condition,degree,nonzero,one_step_rmse_t_in,rollout_rmse_t_in,diverged_frac,sign_pass,kappa,embeddable
raw/d1/stlsq/none,1.0,19.95,1.8608439770995453,2.678684922353351,0.0,,8.206786926966059,True
raw/d1/ensemble/none,1.0,20.1,1.8621100837812308,2.68703381381185,0.0,,8.206786926966059,True
raw/d2/ensemble/none,2.0,47.75,1.1509294851381875,4.279367770595862,0.09749999999999998,,8.206786926966059,False
raw/d1/sr3/none,1.0,5.85,2.412547305429091,4.38247027922792,0.0,,8.206786926966059,True
raw/d1/constrained/none,1.0,5.85,2.412547305429091,4.38247027922792,0.0,,8.206786926966059,True
raw/d2/sr3/none,2.0,6.75,2.3888026996899967,4.783291708015713,0.0,,8.206786926966059,False
raw/d2/constrained/none,2.0,6.75,2.3888026996899967,4.783291708015713,0.0,,8.206786926966059,False
raw/d2/sr3/savgol,2.0,3.0,3.065060391472698,5.1949722738343045,0.0,,9.329313626517383,False
raw/d2/constrained/savgol,2.0,3.0,3.065060391472698,5.1949722738343045,0.0,,9.329313626517383,False
raw/d1/sr3/savgol,1.0,3.0,3.066205579393835,5.197946934092519,0.0,,9.329313626517383,True
raw/d1/constrained/savgol,1.0,3.0,3.066205579393835,5.197946934092519,0.0,,9.329313626517383,True
physics_no_cross/d1/sr3/savgol,1.0,3.0,3.070159412265645,5.247734198812806,0.0,,14.232841079577856,True
physics_no_cross/d1/constrained/savgol,1.0,3.0,3.070159412265645,5.247734198812806,0.0,,14.232841079577856,True
physics/d1/constrained/savgol,1.0,3.0,3.0685758635875713,5.255569632182864,0.0,,43.20035326016033,True
physics/d1/sr3/savgol,1.0,3.0,3.0685758635875713,5.255569632182864,0.0,,43.20035326016033,True
physics/d2/stlsq/savgol,2.0,9.65,3.077418477729892,5.436787109035855,0.05583333333333331,,43.20035326016033,False
raw/d1/ensemble/savgol,1.0,3.0,3.080218760666761,5.496544789706617,0.0,,9.329313626517383,True
physics_no_cross/d2/ensemble/savgol,2.0,3.1,3.080331168754469,5.497045360443707,0.004166666666666665,,14.232841079577856,False
physics_no_cross/d2/stlsq/savgol,2.0,3.1,3.080345267169397,5.497112341570964,0.005,,14.232841079577856,False
raw/d1/stlsq/savgol,1.0,3.0,3.080345267169397,5.507136719726742,0.0,,9.329313626517383,True
physics_no_cross/d1/stlsq/savgol,1.0,3.0,3.080345267169397,5.507136719726742,0.0,,14.232841079577856,True
