n,test_type,delta_mean,delta_median,n_positive,reference_is_constant,delta_ci_lo,delta_ci_hi,p_raw,cohens_dz,rank_biserial,test_year,method,reference,p_holm
20,one_sample_signed_rank_vs_constant,-8.24445476027687,-8.534379799045007,0,True,-9.126132173692604,-7.325473867100734,1.9073486328125e-06,-3.936508868786068,-1.0,2020,nn_mpc,rule_based,1.71661376953125e-05
20,one_sample_signed_rank_vs_constant,-1.8684453458251902,-1.8523140208370694,0,True,-1.902114848464972,-1.8380565872243686,1.9073486328125e-06,-24.816703302534506,-1.0,2020,oracle_mpc,rule_based,1.71661376953125e-05
20,one_sample_signed_rank_vs_constant,-1.2785011860246347,-0.8800795949529885,2,True,-2.03437770216982,-0.6556003355059011,0.0001678466796875,-0.8029093722960017,-0.8,2020,ppo,rule_based,0.001007080078125
20,one_sample_signed_rank_vs_constant,-7.063609799787014,-7.405306016715353,0,True,-7.6131932188098235,-6.490562132898562,1.9073486328125e-06,-5.326822102328754,-1.0,2020,sac,rule_based,1.71661376953125e-05
20,one_sample_signed_rank_vs_constant,-2.9809021619644,-5.150334841802442,6,True,-4.555915117716006,-1.2076340846094085,0.001689910888671875,-0.7578232028529042,-0.4,2020,sindy_mpc_conf,rule_based,0.0067596435546875
20,one_sample_signed_rank_vs_constant,-2.0327381812183054,-2.095835855989103,7,True,-3.7412950800822355,-0.4038029437124674,0.039989471435546875,-0.5112732411288669,-0.3,2020,sindy_mpc_conf_dagger,rule_based,0.07997894287109375
20,one_sample_signed_rank_vs_constant,-1.005319264329294,-0.3676840361271414,7,True,-1.9154724757710653,-0.27254812633297765,0.026641845703125,-0.5219370048238835,-0.3,2020,sindy_mpc_dense,rule_based,0.079925537109375
20,one_sample_signed_rank_vs_constant,-1.4682866116682665,-1.1493810700403597,4,True,-2.2660325726047366,-0.7705683626083057,0.0003223419189453125,-0.8421726450732191,-0.6,2020,sindy_mpc_dense_dagger,rule_based,0.0016117095947265625
20,one_sample_signed_rank_vs_constant,-0.9566404878732456,-0.23781062867780411,8,True,-1.7976174983474753,-0.21720521198086423,0.04405403137207031,-0.5160422939992366,-0.2,2020,sindy_mpc_lowthr,rule_based,0.07997894287109375
20,one_sample_signed_rank_vs_constant,-0.9346286461749334,-0.6680336150218467,6,True,-2.0435107945745594,0.1799899760827088,0.14290618896484375,-0.36138302534561567,-0.4,2021,nn_mpc,rule_based,0.14290618896484375
20,one_sample_signed_rank_vs_constant,0.21453470098839836,0.19233482067574048,20,True,0.17771815761967372,0.2531752384410397,1.9073486328125e-06,2.463278696529267,1.0,2021,oracle_mpc,rule_based,1.71661376953125e-05
20,one_sample_signed_rank_vs_constant,4.873866183906703,4.582877794068376,20,True,4.454682689727778,5.325198066212834,1.9073486328125e-06,4.7366804023728,1.0,2021,ppo,rule_based,1.71661376953125e-05
20,one_sample_signed_rank_vs_constant,0.8370970463267502,1.2260810037265006,14,True,0.18263631566754263,1.4421268892199666,0.01531219482421875,0.5704052265984595,0.4,2021,sac,rule_based,0.0306243896484375
20,one_sample_signed_rank_vs_constant,2.550935530230126,3.348711822956126,19,True,0.9905106683232878,3.670897683689374,0.0007076263427734375,0.795145422672953,0.9,2021,sindy_mpc_conf,rule_based,0.00283050537109375
20,one_sample_signed_rank_vs_constant,3.6532568336872373,3.483602538483531,19,True,1.2075782474500771,5.6327494274169085,0.0007076263427734375,0.7021107571248628,0.9,2021,sindy_mpc_conf_dagger,rule_based,0.00283050537109375
20,one_sample_signed_rank_vs_constant,4.288602319467231,4.424873558342439,20,True,3.4246289510228545,5.173756323072679,1.9073486328125e-06,2.1245063447776356,1.0,2021,sindy_mpc_dense,rule_based,1.71661376953125e-05
20,one_sample_signed_rank_vs_constant,3.696128746412216,3.7882548096275457,20,True,3.151073562649331,4.218355936243567,1.9073486328125e-06,2.9287006808882396,1.0,2021,sindy_mpc_dense_dagger,rule_based,1.71661376953125e-05
20,one_sample_signed_rank_vs_constant,4.377173333068085,4.592395895329541,20,True,3.487153780323378,5.261754820902847,1.9073486328125e-06,2.1322053280382343,1.0,2021,sindy_mpc_lowthr,rule_based,1.71661376953125e-05
20,one_sample_signed_rank_vs_constant,-7.656444680786929,-8.204653410164575,0,True,-8.653046688992095,-6.5882933500945775,1.9073486328125e-06,-3.2060862843484657,-1.0,2022,nn_mpc,rule_based,1.52587890625e-05
20,one_sample_signed_rank_vs_constant,0.3961600585359018,0.3112014190667196,13,True,-0.0954511511685243,0.9041653261652806,0.13272666931152344,0.33295966013077444,0.3,2022,ppo,rule_based,0.4559478759765625
20,one_sample_signed_rank_vs_constant,-4.314344751295625,-4.269242047761526,0,True,-4.989568447921096,-3.605167987380222,1.9073486328125e-06,-2.671852451793247,-1.0,2022,sac,rule_based,1.52587890625e-05
20,one_sample_signed_rank_vs_constant,-3.1123812514805373,-4.190171175637771,3,True,-4.55172828574117,-1.5612460287538354,0.0019855499267578125,-0.8892518770517095,-0.7,2022,sindy_mpc_conf,rule_based,0.009927749633789062
20,one_sample_signed_rank_vs_constant,-0.8174780656379405,-0.7528088619002751,9,True,-2.9612306774225328,1.238225078563995,0.6476554870605469,-0.1649647287526939,-0.1,2022,sindy_mpc_conf_dagger,rule_based,0.6476554870605469
20,one_sample_signed_rank_vs_constant,-0.5532742027744406,-0.6545195782437863,7,True,-1.183343671493082,0.09240508200875426,0.11398696899414062,-0.3752235466177548,-0.3,2022,sindy_mpc_dense,rule_based,0.4559478759765625
20,one_sample_signed_rank_vs_constant,-1.6560193346975587,-1.5640437890278671,0,True,-2.0991206974478307,-1.2275251777764333,1.9073486328125e-06,-1.6206791167560433,-1.0,2022,sindy_mpc_dense_dagger,rule_based,1.52587890625e-05
20,one_sample_signed_rank_vs_constant,-0.48481223231169,-0.5252102124144828,8,True,-1.1373338818332919,0.16935840537181368,0.17685317993164062,-0.3197215467798204,-0.2,2022,sindy_mpc_lowthr,rule_based,0.4559478759765625
20,one_sample_signed_rank_vs_constant,-0.4178640435795046,-0.684487231898872,8,True,-1.248013120070379,0.4251724481137431,0.34881019592285156,-0.21374000513210553,-0.2,2023,nn_mpc,rule_based,0.34881019592285156
20,one_sample_signed_rank_vs_constant,-0.13848377228992634,-0.13942424646389884,1,True,-0.16436793155935692,-0.11073425242366611,3.814697265625e-06,-2.1900333508946095,-0.9,2023,oracle_mpc,rule_based,2.288818359375e-05
20,one_sample_signed_rank_vs_constant,2.647593427512402,3.2165431845256767,19,True,0.9907978684972966,3.6752716294137326,0.0007076263427734375,0.7783076951718458,0.9,2023,ppo,rule_based,0.0021228790283203125
20,one_sample_signed_rank_vs_constant,-1.2350770159233702,-0.9962030199831462,3,True,-1.7612683942553176,-0.7259381912414512,0.000133514404296875,-1.0261319497334498,-0.7,2023,sac,rule_based,0.0005340576171875
20,one_sample_signed_rank_vs_constant,3.340340434876437,2.2968975464929313,17,True,2.0332455329525265,4.713587564403918,2.6702880859375e-05,1.0541525389101125,0.7,2023,sindy_mpc_conf,rule_based,0.000133514404296875
20,one_sample_signed_rank_vs_constant,3.539204468303616,3.3132699547810027,17,True,1.9180944990504878,5.131807964146568,0.0007076263427734375,0.9275723467269699,0.7,2023,sindy_mpc_conf_dagger,rule_based,0.0021228790283203125
20,one_sample_signed_rank_vs_constant,3.4701726661831196,3.816929360800029,20,True,2.8831282030442913,4.020974499112358,1.9073486328125e-06,2.6167076604708277,1.0,2023,sindy_mpc_dense,rule_based,1.71661376953125e-05
20,one_sample_signed_rank_vs_constant,2.797907162704672,2.5596560237506165,20,True,2.3542148247512165,3.241088909326129,1.9073486328125e-06,2.74741808214717,1.0,2023,sindy_mpc_dense_dagger,rule_based,1.71661376953125e-05
20,one_sample_signed_rank_vs_constant,3.5415970970815125,4.010243881806092,20,True,2.931425060291483,4.107791914187214,1.9073486328125e-06,2.590561035243109,1.0,2023,sindy_mpc_lowthr,rule_based,1.71661376953125e-05
