method,j,fruit_price,energy_scale
nn_mpc,-1.805474863335634,0.8,0.5
oracle_mpc,1.3825298438902056,0.8,0.5
ppo,1.6775019237904831,0.8,0.5
rule_based,2.3167525168028,0.8,0.5
sac,-1.215052383090706,0.8,0.5
sindy_mpc_conf,0.8263014358206006,0.8,0.5
sindy_mpc_conf_dagger,1.300383426193648,0.8,0.5
sindy_mpc_dense,1.8140928846381534,0.8,0.5
sindy_mpc_dense_dagger,1.5826092109686676,0.8,0.5
sindy_mpc_lowthr,1.8384322728661773,0.8,0.5
nn_mpc,-9.136757008316422,0.8,1.0
oracle_mpc,-6.288455481674818,0.8,1.0
ppo,-3.2921210458605352,0.8,1.0
rule_based,-4.779252530325486,0.8,1.0
sac,-8.14760269309696,0.8,1.0
sindy_mpc_conf,-5.0032952880235175,0.8,1.0
sindy_mpc_conf_dagger,-4.280137863111101,0.8,1.0
sindy_mpc_dense,-3.8444533702136114,0.8,1.0
sindy_mpc_dense_dagger,-2.8721856808388257,0.8,1.0
sindy_mpc_lowthr,-3.8321756515501813,0.8,1.0
nn_mpc,-23.799321298278,0.8,2.0
oracle_mpc,-21.630426132804864,0.8,2.0
ppo,-13.231366985162571,0.8,2.0
rule_based,-18.97126262458206,0.8,2.0
sac,-22.012703313109462,0.8,2.0
sindy_mpc_conf,-16.662488735711754,0.8,2.0
sindy_mpc_conf_dagger,-15.441180441720595,0.8,2.0
sindy_mpc_dense,-15.161545879917142,0.8,2.0
sindy_mpc_dense_dagger,-11.781775464453812,0.8,2.0
sindy_mpc_lowthr,-15.1733915003829,0.8,2.0
nn_mpc,3.7203324183095203,1.6,0.5
oracle_mpc,10.436045013345435,1.6,0.5
ppo,8.324626817231984,1.6,0.5
rule_based,11.729510080733885,1.6,0.5
sac,4.502445543824841,1.6,0.5
sindy_mpc_conf,7.482199595485319,1.6,0.5
sindy_mpc_conf_dagger,8.181288141692043,1.6,0.5
sindy_mpc_dense,9.286732024128073,1.6,0.5
sindy_mpc_dense_dagger,7.620013313744829,1.6,0.5
sindy_mpc_lowthr,9.347472470148713,1.6,0.5
nn_mpc,-3.610949726671268,1.6,1.0
oracle_mpc,2.7650596877804112,1.6,1.0
ppo,3.3550038475809663,1.6,1.0
rule_based,4.6335050336056,1.6,1.0
sac,-2.430104766181412,1.6,1.0
sindy_mpc_conf,1.6526028716412011,1.6,1.0
sindy_mpc_conf_dagger,2.600766852387296,1.6,1.0
sindy_mpc_dense,3.628185769276307,1.6,1.0
sindy_mpc_dense_dagger,3.165218421937335,1.6,1.0
sindy_mpc_lowthr,3.6768645457323546,1.6,1.0
nn_mpc,-18.273514016632845,1.6,2.0
oracle_mpc,-12.576910963349636,1.6,2.0
ppo,-6.5842420917210704,1.6,2.0
rule_based,-9.558505060650972,1.6,2.0
sac,-16.29520538619392,1.6,2.0
sindy_mpc_conf,-10.006590576047035,1.6,2.0
sindy_mpc_conf_dagger,-8.560275726222201,1.6,2.0
sindy_mpc_dense,-7.688906740427223,1.6,2.0
sindy_mpc_dense_dagger,-5.7443713616776515,1.6,2.0
sindy_mpc_lowthr,-7.6643513031003625,1.6,2.0
nn_mpc,14.77194698159983,3.2,0.5
oracle_mpc,28.54307535225589,3.2,0.5
ppo,21.618876604114988,3.2,0.5
rule_based,30.555025208596057,3.2,0.5
sac,15.937441397655935,3.2,0.5
sindy_mpc_conf,20.793995914814758,3.2,0.5
sindy_mpc_conf_dagger,21.943097572688835,3.2,0.5
sindy_mpc_dense,24.23201030310791,3.2,0.5
sindy_mpc_dense_dagger,19.69482151929715,3.2,0.5
sindy_mpc_lowthr,24.365552864713784,3.2,0.5
nn_mpc,7.440664836619041,3.2,1.0
oracle_mpc,20.87209002669087,3.2,1.0
ppo,16.649253634463967,3.2,1.0
rule_based,23.45902016146777,3.2,1.0
sac,9.004891087649682,3.2,1.0
sindy_mpc_conf,14.964399190970639,3.2,1.0
sindy_mpc_conf_dagger,16.362576283384087,3.2,1.0
sindy_mpc_dense,18.573464048256145,3.2,1.0
sindy_mpc_dense_dagger,15.240026627489659,3.2,1.0
sindy_mpc_lowthr,18.694944940297425,3.2,1.0
nn_mpc,-7.221899453342536,3.2,2.0
oracle_mpc,5.5301193755608224,3.2,2.0
ppo,6.7100076951619325,3.2,2.0
rule_based,9.2670100672112,3.2,2.0
sac,-4.860209532362824,3.2,2.0
sindy_mpc_conf,3.3052057432824022,3.2,2.0
sindy_mpc_conf_dagger,5.201533704774592,3.2,2.0
sindy_mpc_dense,7.256371538552614,3.2,2.0
sindy_mpc_dense_dagger,6.33043684387467,3.2,2.0
sindy_mpc_lowthr,7.353729091464709,3.2,2.0
