block,condition,seed,variant,degree,optimizer,denoise,n_days_train,rollout_horizons,regen_id,config_hash,git_sha,image,nonzero,kappa,rollout_rmse_t_in,diverged_frac,one_step_rmse_t_in,sign_pass,embeddable,secs
ladder,raw/d1/stlsq/none,3,raw,1,stlsq,none,60,"4,20,96",regen-v2,637c6b535a9e,67c0dff,local,21,8.043406208181889,2.6035461272436,0.0,1.8140930413226455,,True,5.9
ladder,raw/d1/stlsq/savgol,3,raw,1,stlsq,savgol,60,"4,20,96",regen-v2,637c6b535a9e,67c0dff,local,3,9.225788523212342,5.410270299485398,0.0,2.9480233758119367,,True,3.8
ladder,raw/d1/stlsq/kalman,3,raw,1,stlsq,kalman,60,"4,20,96",regen-v2,637c6b535a9e,67c0dff,local,3,8.379526261861105,5.573629528206584,0.0,2.950503556249535,,True,4.7
ladder,raw/d1/sr3/none,3,raw,1,sr3,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,6,8.043406208181889,4.690603335642917,0.0,2.284966698429192,,True,3.9
ladder,raw/d1/sr3/savgol,3,raw,1,sr3,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,9.225788523212342,5.005835746009366,0.0,2.9386491428007306,,True,3.8
ladder,raw/d1/sr3/kalman,3,raw,1,sr3,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,8.379526261861105,5.771487636829307,0.0,2.952999065726721,,True,4.6
ladder,raw/d1/constrained/none,3,raw,1,constrained,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,6,8.043406208181889,4.690603335642917,0.0,2.284966698429192,,True,3.9
ladder,raw/d1/constrained/savgol,3,raw,1,constrained,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,9.225788523212342,5.005835746009366,0.0,2.9386491428007306,,True,3.8
ladder,raw/d1/constrained/kalman,3,raw,1,constrained,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,8.379526261861105,5.771487636829307,0.0,2.952999065726721,,True,4.6
ladder,raw/d1/ensemble/none,3,raw,1,ensemble,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,22,8.043406208181889,2.6658678805478075,0.0,1.8025921748602132,,True,4.3
ladder,raw/d1/ensemble/savgol,3,raw,1,ensemble,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,9.225788523212342,5.424036518379464,0.0,2.9482510494936975,,True,4.1
ladder,raw/d1/ensemble/kalman,3,raw,1,ensemble,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,8.379526261861105,5.585253076429947,0.0,2.95066367295059,,True,5.0
ladder,raw/d2/stlsq/none,3,raw,2,stlsq,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,51,8.043406208181889,8.1365294492424,0.016666666666666666,1.08727485400172,,False,19.6
ladder,raw/d2/stlsq/savgol,3,raw,2,stlsq,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,9.225788523212342,5.410270299485398,0.0,2.9480233758119367,,False,20.4
ladder,raw/d2/stlsq/kalman,3,raw,2,stlsq,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,8.379526261861105,5.573629528206584,0.0,2.950503556249535,,False,21.3
ladder,raw/d2/sr3/none,3,raw,2,sr3,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,7,8.043406208181889,5.060199479161629,0.0,2.277804849557177,,False,20.1
