[regen] guard tag=g3 seeds=[3] fast=False cfg=637c6b535a9e git=f8f1aef out=results\raw
[regen] seed 3 draw 0 guard y2021 thr=2.86 ok
[regen] seed 3 draw 0 guard y2022 thr=2.86 ok
[regen] seed 3 draw 0 guard y2023 thr=2.86 ok
[regen] seed 3 draw 1 guard y2021 thr=2.86 ok
[regen] seed 3 draw 1 guard y2022 thr=2.86 ok
[regen] seed 3 draw 1 guard y2023 thr=2.86 ok
[regen] seed 3 draw 2 guard y2021 thr=2.86 ok
[regen] seed 3 draw 2 guard y2022 thr=2.86 ok
[regen] seed 3 draw 2 guard y2023 thr=2.86 ok
[regen] seed 3 draw 3 guard y2021 thr=2.86 ok
[regen] seed 3 draw 3 guard y2022 thr=2.86 ok
[regen] seed 3 draw 3 guard y2023 thr=2.86 ok
[regen] seed 3 draw 4 guard y2021 thr=2.86 ok
[regen] seed 3 draw 4 guard y2022 thr=2.86 ok
[regen] seed 3 draw 4 guard y2023 thr=2.86 ok
[regen] seed 3 draw 5 guard y2021 thr=2.86 ok
[regen] seed 3 draw 5 guard y2022 thr=2.86 ok
[regen] seed 3 draw 5 guard y2023 thr=2.86 ok
[regen] seed 3 draw 6 guard y2021 thr=2.86 ok
[regen] seed 3 draw 6 guard y2022 thr=2.86 ok
[regen] seed 3 draw 6 guard y2023 thr=2.86 ok
[regen] seed 3 draw 7 guard y2021 thr=2.86 ok
[regen] seed 3 draw 7 guard y2022 thr=2.86 ok
[regen] seed 3 draw 7 guard y2023 thr=2.86 ok
[regen] seed 3 draw 8 guard y2021 thr=2.86 ok
[regen] seed 3 draw 8 guard y2022 thr=2.86 ok
[regen] seed 3 draw 8 guard y2023 thr=2.86 ok
[regen] seed 3 draw 9 guard y2021 thr=2.86 ok
[regen] seed 3 draw 9 guard y2022 thr=2.86 ok
[regen] seed 3 draw 9 guard y2023 thr=2.86 ok
[regen] guard tag=g3 DONE
