steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,method,seed,test_year,xi_uboil,rng_seed,horizon,max_solver_failures,objective,secs,regen_id,config_hash,git_sha,image
3687,-1.323596359251785,6.647851919029117,7.971448278280903,5.336679059269521,1.085115459660686,1.549653759350695,270068.9842105579,59.29643399188357,5.165512531168983,3.6170515322022867,74.09818280444807,955,877.5596828460693,99.70165446162191,11,1047.3956604003906,85.00135611608354,553,896.2962036132812,1519,1824.5056614235627,178.12112211610855,803.7892292849497,474.5011939556753,0,5760,0.6401,True,False,env_terminated,nn_mpc,5,2020,,-1,20,100,priced,1230.8,regen-v2,637c6b535a9e,86e95e8,local
5760,-6.085775513284045,8.273908458656845,14.35968397194089,9.365388481786157,1.5691598648740883,3.4251356252806446,336127.5311329343,104.0598720198462,11.417118750935483,5.230532882913628,82.55208333333334,1005,1468.590420782566,98.48958333333333,87,11987.85302734375,81.12847222222223,1087,1482.464828491211,2179,3201.842216033158,393.69375013108566,1162.3406410781522,773.1405031445163,0,5760,1.0,False,False,complete,nn_mpc,5,2021,,-1,20,100,priced,1867.5,regen-v2,637c6b535a9e,86e95e8,local
4453,-5.513003379522811,9.16477114934166,14.677774528864473,7.624577000050435,1.205203104367532,5.8479944244465045,372318.827942005,84.7175222227826,19.493314748155015,4.017343681225107,71.90657983381989,1251,1887.7244820594788,96.81113855827532,142,8975.962051391602,87.26701100381766,567,770.5902900695801,1960,2606.692991037473,672.1832677475818,892.7430404447825,525.0944366573732,0,5760,0.7731,True,False,env_terminated,nn_mpc,5,2022,,-1,20,100,priced,1443.1,regen-v2,637c6b535a9e,86e95e8,local
5602,-3.006433298106832,7.054359160513423,10.060792458620256,7.086428694834169,1.7722026231351693,1.2021611406509185,286583.34089585784,78.73809660926854,4.0072038021697285,5.907342077117232,81.84576936808283,1017,746.5186014175415,99.6965369510889,17,4414.163818359375,74.7054623348804,1417,2359.0608253479004,2451,2422.7106650930746,138.17944154451524,1312.742683537758,964.7220964007591,0,5760,0.9726,True,False,env_terminated,nn_mpc,5,2023,,-1,20,100,priced,1942.0,regen-v2,637c6b535a9e,86e95e8,local
5760,-6.61208420483841,8.320082615048278,14.932166819886687,8.026092917751583,3.3346363183840655,3.5714375837510377,338003.3562363363,89.17881019723981,11.904791945836793,11.115454394613552,82.95138888888889,982,787.6906681060791,85.29513888888889,847,570821.9708251953,77.43055555555556,1300,2141.1463661193848,3129,2743.9633900476824,410.51006667332,2470.100976000029,854.1301534253098,0,5760,1.0,False,False,complete,nn_mpc,6,2020,,-1,20,100,priced,1904.8,regen-v2,637c6b535a9e,86e95e8,local
5760,-10.757052642328714,8.222875565923367,18.979928208252083,10.143422928771432,2.9830735579373577,5.853431721543291,334054.31986563676,112.70469920857147,19.511439071810972,9.94357852645786,91.16319444444444,509,420.40889263153076,90.12152777777777,569,298949.8024902344,74.65277777777779,1460,2235.283546447754,2538,3467.8369000558764,672.8082442192177,2209.6841178429213,711.2642257255591,0,5760,1.0,False,False,complete,nn_mpc,6,2021,,-1,20,100,priced,1829.0,regen-v2,637c6b535a9e,86e95e8,local
5223,-7.51883440371061,8.641594948061858,16.160429351772468,8.25424597916404,2.8013673509380457,5.104816021670381,351064.794765013,91.71384421293378,17.016053405567938,9.337891169793487,84.01301933754547,835,1063.3814821243286,82.55791690599273,911,1114365.1634521484,76.79494543365881,1212,2248.439910888672,2958,2821.9644366548987,586.7604623542642,2075.086927446844,642.2871534011126,0,5760,0.9068,True,False,env_terminated,nn_mpc,6,2022,,-1,20,100,priced,1651.1,regen-v2,637c6b535a9e,86e95e8,local
5760,-7.062787785300799,7.317355352018099,14.3801431373189,7.931897415071938,3.0334705305409306,3.414775191706031,297267.5611757353,88.13219350079932,11.382583972353437,10.111568435136435,89.84375,585,371.4393186569214,94.13194444444444,338,208835.70239257812,64.96527777777777,2018,3809.866558074951,2941,2711.759799560432,392.5028952998706,2247.0152073295712,894.9700167730723,0,5760,1.0,False,False,complete,nn_mpc,6,2023,,-1,20,100,priced,1936.5,regen-v2,637c6b535a9e,86e95e8,local
5706,-2.3873402471532943,10.778810576675365,13.166150823828657,8.140176020243919,2.260423759889541,2.765551043695199,437889.17967743665,90.44640022493243,9.218503478983997,7.53474586629847,88.3981773571679,662,391.891188621521,99.6845425867508,18,8578.74853515625,79.19733613739923,1187,1796.9631233215332,1867,2782.9661590566393,317.87943059968904,1674.387970281553,720.6332901322073,0,5760,0.9906,True,False,env_terminated,nn_mpc,7,2020,,-1,20,100,priced,1815.2,regen-v2,637c6b535a9e,86e95e8,local
5760,-5.029501761804732,10.181421239690838,15.21092300149557,9.906822142040602,1.8975722742752152,3.4065285851797533,413620.2378624403,110.0758015782289,11.355095283932512,6.325240914250718,93.03819444444444,401,256.35229682922363,99.61805555555556,22,2479.5291137695312,70.52083333333333,1698,2349.5778198242188,2121,3386.9477411702446,391.55500937021986,1405.6090917902711,584.1645931412329,0,5760,1.0,False,False,complete,nn_mpc,7,2021,,-1,20,100,priced,1810.9,regen-v2,637c6b535a9e,86e95e8,local
