block,condition,seed,test_year,threshold,r_dist_err,r_std_err,auc_dist,auc_std,n_steps,regen_id,config_hash,git_sha,image,steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,guard_activations,secs
signal,mahalanobis,0,2021,2.8595478900837894,0.2586565055204147,0.3435539871124123,0.6689152705425858,0.679644457307008,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,0,2021,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-1.366946583695851,8.025612841154256,9.392559424850106,6.673730269063137,1.928926716360696,0.7899024394262741,326040.5216718916,74.15255854514596,2.633008131420914,6.429755721202318,62.77777777777778,2144.0,1949.059838294983,100.0,0.0,0.0,54.73958333333333,2607.0,6061.859565734863,4751.0,2281.617186122773,90.79338380779254,1428.8346035284717,1214.8080155036914,0.0,5760.0,1.0,False,-1.0,68.4
guard,guarded,0,2021,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-3.621284147142792,8.177301253413992,11.798585400556783,6.430629794161869,1.7538568771032377,3.6140987292916766,332202.86341994343,71.45144215735411,12.046995764305588,5.846189590344125,57.32638888888889,2458.0,6079.9179928302765,96.64930555555556,193.0,78428.73266601562,47.37847222222222,3031.0,12277.97423171997,5682.0,2198.5059119867665,415.4136468793945,1299.1532418365873,1122.1690074652263,0.0,5760.0,1.0,False,-1.0,68.7
signal,mahalanobis,0,2022,2.8595478900837894,0.2973417581059994,0.4804696664629608,0.731291334383776,0.7430743134606728,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,0,2022,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,6.310964159554977,15.342777053477064,9.031812893922089,5.759651028156203,2.38490928758543,0.887252578180455,623300.3177975058,63.99612253506892,2.95750859393485,7.949697625284767,69.20138888888889,1774.0,1703.9816312789917,99.93055555555556,4.0,96.4586181640625,63.76736111111111,2087.0,4520.360023498535,3865.0,1969.111462464255,101.98305491387546,1766.5994718465313,1181.551763422558,0.0,5760.0,1.0,False,-1.0,77.1
guard,guarded,0,2022,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5027.0,-2.719225198737393,8.239179465162147,10.95840466389954,5.827025466679765,1.6029676203849852,3.528411576834792,334716.66577221226,64.74472740755294,11.76137192278264,5.343225401283284,62.184205291426295,1901.0,5784.670321941376,96.81718718917844,160.0,111129.79028320312,56.67396061269147,2178.0,8811.16939163208,4239.0,1992.1454574220747,405.5645489694813,1187.3834218321815,827.5854099334582,0.0,5760.0,0.8727,True,-1.0,60.8
signal,mahalanobis,0,2023,2.8595478900837894,0.1562204898231928,0.192362403592169,0.6067480558771197,0.6193277434776084,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,0,2023,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,5.014583755350813,13.165795214683415,8.151211459332604,5.050216899225719,2.800611316117104,0.3003832439897804,534860.4305965138,56.11352110250799,1.001277479965935,9.33537105372368,60.9375,2250.0,1914.1778945922847,100.0,0.0,0.0,51.57986111111112,2789.0,5898.830520629883,5039.0,1726.5698801392298,34.52680966729153,2074.526900491081,1585.3884255805008,0.0,5760.0,1.0,False,-1.0,75.1
guard,guarded,0,2023,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,0.8250824052012944,10.114275375613644,9.289192970412348,5.12812610601512,2.676686679702001,1.4843801846952256,410892.4371343042,56.97917895572356,4.947933948984086,8.922288932340006,56.21527777777777,2522.0,3619.757549762726,98.64583333333331,78.0,30495.104736328125,49.60069444444444,2903.0,8443.50634765625,5503.0,1753.2055063967734,170.61841204660533,1982.7308747860595,1499.9233992273453,0.0,5760.0,1.0,False,-1.0,71.2
signal,mahalanobis,1,2021,2.8595478900837894,0.1665541604378431,0.11245570984333,0.6593430445687826,0.6420964906639226,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,1,2021,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-4.820979889294566,7.37958930045721,12.20056918975178,6.678582186739603,5.432783035936007,0.0892039670761674,299795.8153310742,74.20646874155115,0.2973465569205582,18.10927678645336,63.33333333333333,2112.0,3150.510912299156,49.40972222222222,2914.0,2971281.845214844,51.66666666666667,2784.0,4124.299407958984,7810.0,2283.275961089817,10.253329537891124,4024.283730901012,1249.0808407577997,0.0,5760.0,1.0,False,-1.0,73.2
guard,guarded,1,2021,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-3.7611725663746105,7.534264139315929,11.29543670569054,5.8898619865023125,4.929759328710339,0.4758153904778883,306079.4806597096,65.4429109611368,1.586051301592961,16.43253109570113,52.482638888888886,2737.0,6594.244378089905,42.04861111111112,3338.0,3958499.193725586,45.520833333333336,3138.0,14213.625713348389,9213.0,2013.6280294566595,54.6914241100412,3651.6735777470194,1057.8534982428214,0.0,5760.0,1.0,False,-1.0,73.3
signal,mahalanobis,1,2022,2.8595478900837894,0.2151761419089176,0.2126235881861009,0.7209321138015307,0.676333017128647,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,1,2022,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-2.3438755097649304,8.973487875262261,11.317363385027193,5.909766864220867,5.313628310594931,0.0939682102113962,364547.94493252935,65.66407626912074,0.3132273673713207,17.71209436864977,64.79166666666667,2028.0,3473.1945877075195,57.41319444444445,2453.0,1935572.2512207031,66.42361111111111,1934.0,2794.2165489196777,6415.0,2020.4331170530515,10.800943677466032,3936.0209718612905,1271.7539824328496,0.0,5760.0,1.0,False,-1.0,76.5
guard,guarded,1,2022,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5027.0,-1.844244260854799,7.963768428297305,9.808012689152104,5.170825714463325,4.231766674753439,0.4054202999353409,323528.092399578,57.4536190495925,1.3514009997844698,14.105888915844798,57.270738014720514,2148.0,6507.638181686401,45.99164511637159,2715.0,3093606.2545166016,57.07181221404416,2158.0,7536.27742767334,7021.0,1767.8036624224344,46.60003446766649,3134.641979992238,877.4962602865107,0.0,5760.0,0.8727,True,-1.0,66.8
signal,mahalanobis,1,2023,2.8595478900837894,0.0766901593072075,0.2118417415046332,0.600164366143589,0.671953046283791,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
