steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,block,condition,oracle_horizon,seed,test_year,secs,regen_id,config_hash,git_sha,image,metric_scope,horizon,state,rmse,mae,r2,failed_rollouts,attempted_rollouts,recipe,xi_uboil,rng_seed,traj_steps
5760.0,2.893207072437666,17.944881372128908,15.05167429969124,7.719390950512995,2.67437693588362,4.657906413294625,729010.8057427368,85.77101056125551,15.526354710982083,8.914589786278734,73.85416666666667,1506.0,2482.305495262146,100.0,0.0,0.0,69.13194444444444,1778.0,3957.469005584717,3284.0,2639.1080180301587,535.3915414506635,1981.0199525488188,747.5854691622005,12.0,5760.0,1.0,False,horizon,h=12,12.0,0,2020,4498.9,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
5760.0,2.786963210873269,18.162865919209224,15.375902708335955,7.5969683425726195,2.623822392605983,5.155111973157352,737866.4279678747,84.410759361918,17.183706577191174,8.746074642019943,79.53125,1179.0,1919.601845741272,100.0,0.0,0.0,69.89583333333333,1734.0,4045.1191387176514,2913.0,2597.254132417608,592.5416067089199,1943.5721412144728,726.7822002330897,71.0,5760.0,1.0,False,horizon,h=20,20.0,0,2020,7373.3,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
3756.0,0.2276469768617926,12.045225237368824,11.817578260507032,5.397309328642711,1.6086968930727246,4.811572038791596,489337.27526810847,59.97010365158568,16.038573462638652,5.362322976909082,74.20127795527156,969.0,2000.930400848389,100.0,0.0,0.0,70.6070287539936,1104.0,2561.3588485717773,2073.0,1845.233956609983,553.0542574754804,1191.627328773994,444.795278322815,100.0,5760.0,0.6521,True,horizon,h=48,48.0,0,2020,11192.4,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
3556.0,-1.0756641596580137,11.549560215816992,12.625224375475009,5.5386138945793775,1.5974692427713792,5.48914123812425,469200.88376756536,61.540154384215306,18.297137460414167,5.3248974759045975,67.88526434195725,1142.0,2177.184593200684,100.0,0.0,0.0,70.78177727784028,1039.0,2473.703426361084,2181.0,1893.543210172004,630.9357744231226,1183.3105499909038,468.1865998347734,100.0,5760.0,0.6174,True,horizon,h=96,96.0,0,2020,19019.2,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,0,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,9.059079558268188,7.147351628485982,,0.0,20.0,confirmatory,0.0,418524381.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,0,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.42753096115891,6.595629635556304,,0.0,20.0,lowthr,0.0392775884691845,4124342315.0,5760.0
5760.0,2.880233566469175,18.02196723847357,15.141733672004396,7.712638551995731,2.655248741288678,4.773846378719988,732142.4190629888,85.69598391106368,15.91282126239996,8.850829137628926,73.50694444444444,1526.0,2534.833863258362,100.0,0.0,0.0,69.39236111111111,1763.0,4134.082801818848,3289.0,2636.799505215365,548.7179748109432,1966.8509195605288,738.6397513229311,15.0,5760.0,1.0,False,horizon,h=12,12.0,1,2020,4262.8,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
5760.0,2.760928107143036,18.003128803742328,15.242200696599296,7.471347121959837,2.6215393030846057,5.14931427155485,731377.1076520322,83.01496802177597,17.164380905182835,8.738464343615354,80.45138888888889,1126.0,1816.628026008606,100.0,0.0,0.0,69.73958333333333,1743.0,3991.2106323242183,2869.0,2554.30670667054,591.8752037523865,1941.880965061604,706.9715557290682,78.0,5760.0,1.0,False,horizon,h=20,20.0,1,2020,6958.9,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
3740.0,0.3326814685491954,12.040352624610264,11.707671156061068,5.4023911040030725,1.6094939193921314,4.695786132665866,489139.325374792,60.02656782225636,15.652620442219554,5.364979731307105,74.67914438502675,947.0,1913.3349533081052,100.0,0.0,0.0,70.42780748663101,1106.0,2622.466651916504,2053.0,1846.97131746018,539.7455326068768,1192.217717646134,442.4912521735233,100.0,5760.0,0.6493,True,horizon,h=48,48.0,1,2020,10707.7,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
3542.0,-1.2019120059584625,11.479982290390865,12.681894296349324,5.517344175652403,1.5989738621524734,5.56557625854445,466374.2805471289,61.3038241739156,18.551920861814835,5.329912873841578,68.21005081874647,1126.0,2181.3318004608154,100.0,0.0,0.0,70.4404291360813,1047.0,2514.2243843078613,2173.0,1886.271512122304,639.7214087666508,1184.425083063951,466.5885260559837,100.0,5760.0,0.6149,True,horizon,h=96,96.0,1,2020,18518.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,1,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,9.337735388623306,7.608335631191319,,0.0,20.0,confirmatory,0.0,56809052.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,1,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.025586835906829,6.362266035394706,,0.0,20.0,lowthr,0.0376178848223028,2804785410.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,10,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.572565314205672,6.782771742505215,,0.0,20.0,confirmatory,0.0,3514091590.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,10,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.320691224394514,6.471456878209168,,0.0,20.0,lowthr,0.0312329091819717,4016650870.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,11,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,9.220313706295888,7.102874004753458,,0.0,20.0,confirmatory,0.0,118137717.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,11,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.899448464359418,6.7695457537806325,,0.0,20.0,lowthr,0.0359217418772368,1134734204.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,12,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.641156459356184,6.897780580552922,,0.0,20.0,confirmatory,0.0,2620518588.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,12,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.245036510425566,6.423912047406329,,0.0,20.0,lowthr,0.0399524300859214,3889291081.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,13,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.479700142791277,6.81507780419854,,0.0,20.0,confirmatory,0.0740162127887034,3703764477.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,13,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.021651761031107,6.335029314419831,,0.0,20.0,lowthr,0.0585704885551467,1661634008.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,14,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.51206116197361,6.877963346530223,,0.0,20.0,confirmatory,0.0,4089708578.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,14,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.293715126629404,6.511980746830181,,0.0,20.0,lowthr,0.0372925395771292,2880715498.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,15,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,9.044440536064814,7.221105731359611,,0.0,20.0,confirmatory,0.0,3847051388.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,15,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.543720864979248,6.781410152803949,,0.0,20.0,lowthr,0.0325898878612069,883814690.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,16,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.699011933969325,6.960928356273296,,0.0,20.0,confirmatory,0.0,3207005022.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,16,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.531564675713383,6.8425927433797735,,0.0,20.0,lowthr,0.0305840677665614,4282964902.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,17,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.986881087829257,7.15412141235469,,0.0,20.0,confirmatory,0.0,246107914.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,17,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.392640529518479,6.564657455029177,,0.0,20.0,lowthr,0.0399544161865974,2479374571.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,18,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.961085824277259,7.224950239023405,,0.0,20.0,confirmatory,0.0,620726115.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_lowthr,,18,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,8.226009127626124,6.519935895867203,,0.0,20.0,lowthr,0.0314408759048236,2996787258.0,5760.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replay,replay_confirmatory,,19,2020,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,rollout,96.0,rh,10.741387012253124,8.392183058927863,,0.0,20.0,confirmatory,0.0581229763253284,3747979278.0,5760.0
