metric_scope,horizon,state,rmse,mae,r2,failed_rollouts,attempted_rollouts,block,condition,recipe,seed,test_year,xi_uboil,rng_seed,traj_steps,regen_id,config_hash,git_sha,image
one_step,1,t_in,1.9375681873495352,1.518493629500341,0.8124409302262716,,,replay,replay_confirmatory,confirmatory,10,2020,0.0,3514091590,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
one_step,1,co2,105.77273568225503,83.79605582271114,0.6902023065194086,,,replay,replay_confirmatory,confirmatory,10,2020,0.0,3514091590,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
one_step,1,rh,6.569373188726188,4.672650926597232,0.6520601140865327,,,replay,replay_confirmatory,confirmatory,10,2020,0.0,3514091590,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
rollout,4,t_in,2.4114989298991816,1.9783755478649723,,0.0,20.0,replay,replay_confirmatory,confirmatory,10,2020,0.0,3514091590,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
rollout,4,co2,150.2368833755934,113.86319000519374,,0.0,20.0,replay,replay_confirmatory,confirmatory,10,2020,0.0,3514091590,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
rollout,4,rh,7.964417417563078,6.532033304763869,,0.0,20.0,replay,replay_confirmatory,confirmatory,10,2020,0.0,3514091590,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
rollout,20,t_in,2.507668553309271,2.0649149878154303,,0.0,20.0,replay,replay_confirmatory,confirmatory,10,2020,0.0,3514091590,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
rollout,20,co2,221.84961543224887,178.82038851739492,,0.0,20.0,replay,replay_confirmatory,confirmatory,10,2020,0.0,3514091590,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
rollout,20,rh,7.95991073176331,6.5688072278650145,,0.0,20.0,replay,replay_confirmatory,confirmatory,10,2020,0.0,3514091590,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
rollout,96,t_in,2.6741809354990456,2.2126965954891147,,0.0,20.0,replay,replay_confirmatory,confirmatory,10,2020,0.0,3514091590,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
rollout,96,co2,326.1683288370183,260.9409623816921,,0.0,20.0,replay,replay_confirmatory,confirmatory,10,2020,0.0,3514091590,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
rollout,96,rh,8.572565314205672,6.782771742505215,,0.0,20.0,replay,replay_confirmatory,confirmatory,10,2020,0.0,3514091590,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
one_step,1,t_in,1.8357691719908622,1.4131658935836844,0.8316317396434091,,,replay,replay_lowthr,lowthr,10,2020,0.031232909181971726,4016650870,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
one_step,1,co2,103.81268287533481,83.98506893708368,0.7015775196467324,,,replay,replay_lowthr,lowthr,10,2020,0.031232909181971726,4016650870,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
one_step,1,rh,6.478224425624252,4.600569680633582,0.66164832731635,,,replay,replay_lowthr,lowthr,10,2020,0.031232909181971726,4016650870,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
rollout,4,t_in,2.263184915737642,1.8068046381941911,,0.0,20.0,replay,replay_lowthr,lowthr,10,2020,0.031232909181971726,4016650870,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
rollout,4,co2,150.8511977315627,119.31620090516392,,0.0,20.0,replay,replay_lowthr,lowthr,10,2020,0.031232909181971726,4016650870,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
rollout,4,rh,7.783744187750324,6.343417903402857,,0.0,20.0,replay,replay_lowthr,lowthr,10,2020,0.031232909181971726,4016650870,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
rollout,20,t_in,2.2613366287693353,1.8370003270071527,,0.0,20.0,replay,replay_lowthr,lowthr,10,2020,0.031232909181971726,4016650870,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
rollout,20,co2,265.9897316095556,215.50826778287816,,0.0,20.0,replay,replay_lowthr,lowthr,10,2020,0.031232909181971726,4016650870,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
rollout,20,rh,7.624839371595721,6.153614586799249,,0.0,20.0,replay,replay_lowthr,lowthr,10,2020,0.031232909181971726,4016650870,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
rollout,96,t_in,2.3738046236533408,1.9348581505464857,,0.0,20.0,replay,replay_lowthr,lowthr,10,2020,0.031232909181971726,4016650870,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
rollout,96,co2,403.65063652916473,337.86386702533207,,0.0,20.0,replay,replay_lowthr,lowthr,10,2020,0.031232909181971726,4016650870,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
rollout,96,rh,8.320691224394514,6.471456878209168,,0.0,20.0,replay,replay_lowthr,lowthr,10,2020,0.031232909181971726,4016650870,5760,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1
