method,epi_mean_over_years,worst_year,years
ppo,0.45366798600028446,-2.097331369555405,4
sindy_mpc_lowthr,0.38449108644615493,-2.594024220394023,4
sindy_mpc_dense,0.31142074926560115,-2.6825952339948773,4
sindy_mpc_conf_dagger,-0.12055037119865658,-3.31794071977487,4
sindy_mpc_dense_dagger,-0.20144396814790053,-3.2750688070498932,4
rule_based,-1.2061116349823084,-6.971197553462107,4
sindy_mpc_conf,-1.2566134970669027,-4.420262023231983,4
oracle_mpc,-2.6481174396515113,-6.75666285247371,3
sac,-4.150095265152123,-6.134100507135358,4
nn_mpc,-4.850552376805864,-7.634859895563551,4
