lam,nonzero,xi_uboil,rollout_rmse,epi_mean,epi_std,viol_mean,n
1e-06,53.95,0.03879494541117145,10.885313212186933,3.676864545732356,1.8538024867292384,6439.25,20
0.001,49.75,0.03879487838715308,10.778347979824906,3.6281857692763078,1.9261314201481414,6450.05,20
0.01,42.6,0.039164184568118154,10.56011422116082,3.205284189828288,3.24899784786779,6262.95,20
0.02,38.95,0.040102395539642,10.759110012950972,4.391033653975718,1.4646490795582352,6431.5,20
0.03,36.1,0.03984469883489562,10.524370799791688,4.98393208254316,1.756309052056882,6524.1,20
0.04,32.25,0.015950427461170386,10.929150750138783,2.7603950256857437,3.8434907246707284,6570.25,20
0.05,28.1,0.0068252789101959,10.913734762882036,1.5881690843290184,5.588140926327877,5422.6,20
0.06,25.4,0.0,11.653728806666269,2.57910684290063,4.631381864976077,5590.65,20
0.07,23.05,0.0,12.064295063732274,3.673360876911855,2.619710074314104,6649.85,20
0.08,21.3,0.0,11.998942281645595,2.4853498640770115,1.2288531646465313,7976.45,20
0.1,19.5,0.0,13.586130052310125,2.503741873838105,0.3370346443571899,8439.9,20
0.15,14.4,0.0,8.088442896075296,4.051084481260112,0.986750232237461,8606.5,20
0.2,12.15,0.0,8.772572730551254,1.3394696278092897,3.0487884931288503,9218.75,20
