method,mean_over_seasons,worst_season,seasons,ci_lo,ci_hi,seasons_won
ppo,0.45366798600028446,-2.097331369555405,4,-1.632001662007156,2.5393376340077247,2
sindy_mpc_lowthr,0.4132177925088567,-2.594024220394023,4,-1.7348433828987948,2.689481338076818,1
sindy_mpc_dense,0.34393374465434523,-2.6825952339948773,4,-1.8183871357151231,2.6351161480101837,0
sindy_mpc_conf_dagger,-0.12055037119865658,-3.31794071977487,4,-2.360947215765992,1.8818099108735489,0
sindy_mpc_dense_dagger,-0.3636791442945432,-3.2750688070498932,4,-2.5384285984871644,2.1198242616363423,0
rule_based,-1.2061116349823084,-6.971197553462107,4,-5.392731467716708,2.980508197752091,1
sindy_mpc_conf,-1.2566134970669027,-4.420262023231983,4,-3.433677754197705,0.7932346813354112,0
oracle_mpc,-2.6481174396515113,-6.75666285247371,3,-6.75666285247371,2.765059687780411,0
sac,-4.150095265152123,-6.134100507135358,4,-5.591721452515018,-2.7084690777892284,0
nn_mpc,-5.519459667686868,-7.905826199637042,4,-7.117379759262695,-3.9215395761110408,0
