step,time_h,controller,solver_failures,t_in,co2,rh,T_out,rad,co2_out,sin_h,cos_h,uBoil,uCO2,uThScr,uVent,uLamp,uBlScr
0,0.0,raw_sindy_mpc,0,16.5,417.73931884765625,90.0,4.199999809265137,0.0,400.0,0.0,1.0,1.0,0.8497418039880031,0.5976260041419382,0.0,0.0,0.6246739282683054
1,0.25,raw_sindy_mpc,0,12.818973541259766,741.4481201171875,93.92646026611328,4.199999809265137,0.0,400.0,0.06540312923014306,0.9978589232386035,1.0,0.22260514157450284,1.0,0.2243076131049367,0.0,0.0
2,0.5,raw_sindy_mpc,0,12.770437240600586,751.0525512695312,88.3604507446289,4.199999809265137,0.0,400.0,0.13052619222005157,0.9914448613738104,1.0,0.08033110321921219,1.0,0.1959357461825695,0.0,0.4250542667467179
3,0.75,raw_sindy_mpc,0,12.931598663330078,706.8924560546875,85.30982971191406,4.199999809265137,0.0,400.0,0.19509032201612825,0.9807852804032304,1.0,0.1204990331510349,1.0,0.16328156659744725,0.0,0.6692371011394451
4,1.0,raw_sindy_mpc,0,13.291892051696777,690.0868530273438,83.45745849609375,4.199999809265137,0.0,400.0,0.25881904510252074,0.9659258262890683,1.0,0.12853985939541188,1.0,0.13658809678427963,0.0,0.8227173798459136
5,1.25,raw_sindy_mpc,0,13.737418174743652,681.7357177734375,82.24473571777344,4.200001239776611,0.0,400.0,0.3214394653031616,0.9469301294951057,1.0,0.13189385608900145,1.0,0.11198601033155996,0.0,0.9224963222743797
6,1.5,raw_sindy_mpc,0,14.21306037902832,678.1248168945312,81.35596466064453,4.225090026855469,0.0,400.0,0.3826834323650898,0.9238795325112867,1.0,0.12955262302199866,1.0,0.08897532980055792,0.0,0.9915063828598148
7,1.75,raw_sindy_mpc,0,14.696455001831055,676.70361328125,80.66764068603516,4.250107765197754,0.0,400.0,0.44228869021900125,0.8968727415326884,1.0,0.11964480949395093,1.0,0.05403843633521826,0.0,1.0
8,2.0,raw_sindy_mpc,0,15.283860206604004,678.4644775390625,79.9822769165039,4.275125980377197,0.0,400.0,0.49999999999999994,0.8660254037844387,1.0,0.09991410545726831,1.0,0.011358232915805741,0.0,1.0
9,2.25,raw_sindy_mpc,0,16.100723266601562,693.551025390625,79.3852310180664,4.299985408782959,0.0,400.0,0.5555702330196022,0.8314696123025452,0.8799163951323302,0.08906889868946041,1.0,0.0,0.0,1.0
10,2.5,raw_sindy_mpc,0,16.678396224975586,721.8258056640625,79.83906555175781,4.224514961242676,0.0,400.0,0.6087614290087207,0.7933533402912352,0.8254540288569531,0.051340485573716226,1.0,0.0,0.0,1.0
11,2.75,raw_sindy_mpc,0,16.954782485961914,738.8255615234375,80.72057342529297,4.149460792541504,0.0,400.0,0.6593458151000688,0.7518398074789774,0.869003330586219,0.02859061128127198,1.0,0.0,0.0,0.9782520111255975
12,3.0,raw_sindy_mpc,0,17.14510154724121,746.9378051757812,81.20658111572266,4.07440710067749,0.0,400.0,0.7071067811865476,0.7071067811865476,0.8979492880300238,0.02317857115251178,1.0,0.0,0.0,0.9556000858456937
13,3.25,raw_sindy_mpc,0,17.327312469482422,753.3841552734375,81.30611419677734,3.999115228652954,0.0,400.0,0.7518398074789774,0.6593458151000688,0.8938795413638808,0.019991534320229522,1.0,0.0,0.0,0.9514899560049545
14,3.5,raw_sindy_mpc,0,17.4648380279541,758.6649169921875,81.31346893310547,3.8485982418060303,0.0,400.0,0.7933533402912352,0.6087614290087207,0.8842939204115441,0.01805910827639336,1.0,0.0,0.0,0.9578895991313616
15,3.75,raw_sindy_mpc,0,17.5609073638916,763.260986328125,81.3072738647461,3.6984903812408447,0.0,400.0,0.8314696123025451,0.5555702330196024,0.8790517873997002,0.016803376284289285,1.0,0.0,0.0,0.9632371204717509
16,4.0,raw_sindy_mpc,0,17.6269474029541,767.4843139648438,81.2906494140625,3.548382520675659,0.0,400.0,0.8660254037844386,0.5000000000000001,0.8778374882536697,0.015730779671079543,1.0,0.0,0.0,0.9684015390099905
17,4.25,raw_sindy_mpc,0,17.673919677734375,771.4468383789062,81.25576782226562,3.400038957595825,0.0,400.0,0.8968727415326884,0.44228869021900125,0.8756709682674779,0.015253854884730293,1.0,0.0,0.0,0.97173125115896
18,4.5,raw_sindy_mpc,0,17.729888916015625,775.2216186523438,81.1971435546875,3.450611114501953,0.0,400.0,0.9238795325112867,0.38268343236508984,0.863653286323228,0.016781233088633263,1.0,0.0,0.0,0.9469593277351082
19,4.75,raw_sindy_mpc,0,17.785621643066406,779.5079345703125,81.15459442138672,3.5006470680236816,0.0,400.0,0.9469301294951056,0.3214394653031617,0.8505288803403195,0.01771337152485968,1.0,0.0,0.0,0.9196961900770734
20,5.0,raw_sindy_mpc,0,17.82863998413086,784.0086669921875,81.16566467285156,3.55068302154541,0.0,400.0,0.9659258262890683,0.25881904510252074,0.8434798180094015,0.018233511979320896,1.0,0.0,0.0,0.8894325011972858
21,5.25,raw_sindy_mpc,0,17.861957550048828,788.5651245117188,81.1988525390625,3.600998878479004,0.000842801877297461,400.0,0.9807852804032304,0.19509032201612833,0.8402075865754923,0.018565977485852213,1.0,0.0,0.0,0.8582442025594627
22,5.5,raw_sindy_mpc,0,17.893877029418945,793.3888549804688,81.63321685791016,3.701509714126587,0.7049285173416138,400.0,0.9914448613738104,0.1305261922200517,0.8696553827426591,0.021360873268743124,1.0,0.0,0.0,0.798609848335163
23,5.75,raw_sindy_mpc,0,17.95647621154785,799.5967407226562,82.26024627685547,3.801581621170044,1.3998721837997437,400.0,0.9978589232386035,0.06540312923014327,0.9184100868202244,0.022547804554864232,1.0,0.0,0.0,0.7350026173581745
24,6.0,raw_sindy_mpc,0,18.0791015625,806.573486328125,82.86731719970703,3.901653528213501,2.094815969467163,400.0,1.0,6.123233995736766e-17,0.9577285541054094,0.023216501653635074,1.0,0.0,0.0,0.6758889245340658
25,6.25,raw_sindy_mpc,0,18.263782501220703,814.1098022460938,83.38509368896484,4.0011210441589355,2.8262176513671875,400.0,0.9978589232386035,-0.06540312923014314,0.96470831937776,0.02645839218026035,1.0,0.0017364047037822044,0.0,0.6190337053384372
26,6.5,raw_sindy_mpc,0,18.321367263793945,817.2891235351562,85.9949722290039,4.050898551940918,19.037063598632812,400.0,0.9914448613738104,-0.1305261922200516,1.0,0.07393878140594112,1.0,0.019541590844587595,0.0,0.3755020563714971
27,6.75,raw_sindy_mpc,0,18.459365844726562,807.486328125,86.09740447998047,4.1009345054626465,35.02076721191406,400.0,0.9807852804032304,-0.1950903220161282,1.0,0.11998665715650342,1.0,0.030888731804043546,0.0,0.3607863517787512
28,7.0,raw_sindy_mpc,0,18.56568717956543,797.6741943359375,85.92171478271484,4.150970458984375,51.00447463989258,400.0,0.9659258262890683,-0.25881904510252063,0.999930535040573,0.16266235055341352,1.0,0.046219051329149316,0.0,0.3866277680250153
29,7.25,raw_sindy_mpc,0,18.613506317138672,790.73095703125,85.68489074707031,4.202070236206055,67.16813659667969,400.0,0.9469301294951057,-0.3214394653031616,0.8881751638456744,0.21160720855977824,1.0,0.07005232866623679,0.0,0.3648535870347678
30,7.5,raw_sindy_mpc,0,18.916484832763672,786.2513427734375,85.49736022949219,4.455212116241455,107.78416442871094,400.0,0.9238795325112868,-0.3826834323650895,0.6434019100100745,0.28163793380155194,1.0,0.10435893130743013,0.0,0.2535437113691871
