method,budget_days,co2,rh,t_in
physics_full,3,117.47533080854141,5.280497843505953,3.1130104199203985
physics_full,7,104.36898906040412,5.117885408291698,2.896139057192928
physics_full,14,81.49560657580714,4.026311542902033,1.6929735554209109
physics_full,30,72.37879360572066,3.61169554872313,1.429064310899561
physics_full,60,75.55834223155567,3.718027024048901,1.482154200554897
physics_no_cross,3,118.43450118631858,4.914194695454949,3.0766619502797563
physics_no_cross,7,115.56712234675555,5.048893868196707,2.9881750092175463
physics_no_cross,14,89.19502412964884,4.129670173286765,1.821050763092857
physics_no_cross,30,82.99091217648373,3.9189132627440837,1.597811123913908
physics_no_cross,60,83.16640923225964,3.9954933785658193,1.6179983576874024
raw_linear,3,122.07663042218252,5.0658843572227905,2.9692681884860996
raw_linear,7,95.10599586350767,4.883649806933737,2.171267670538906
raw_linear,14,91.39765655408526,4.649145653012485,1.9345712128483965
raw_linear,30,84.65688023975775,4.332379342665788,1.6895590368240123
raw_linear,60,85.32806820862695,4.4717153651008275,1.727834855965056
raw_quadratic,3,143.4378714061437,10.46144569642173,3.684351582439383
raw_quadratic,7,67.63038847142832,7.561349466051019,1.8567171798850417
raw_quadratic,14,58.90959500194869,8.60946940903239,1.697566500831212
raw_quadratic,30,48.937576954989424,2.702672352673304,0.9012997661908487
raw_quadratic,60,52.525533717286606,2.902872879280074,1.067624747480319
