step,time_h,controller,solver_failures,t_in,co2,rh,T_out,rad,co2_out,sin_h,cos_h,uBoil,uCO2,uThScr,uVent,uLamp,uBlScr
0,0.0,physics_sindy_mpc,0,16.5,414.60009765625,90.0,6.300000190734863,0.0,400.0,0.0,1.0,1.0,1.0,0.6499268580766163,0.0,0.0,0.39775117718808856
1,0.25,physics_sindy_mpc,0,14.240867614746094,805.0767822265625,94.86334991455078,6.300000190734863,0.0,400.0,0.06540312923014306,0.9978589232386035,1.0,0.3196276558995201,1.0,0.26335740152151554,0.0,0.0
2,0.5,physics_sindy_mpc,0,14.120885848999023,857.3265380859375,89.77269744873047,6.550179958343506,0.0,400.0,0.13052619222005157,0.9914448613738104,1.0,0.00375898687775394,1.0,0.2810594207828039,0.0,1.0
3,0.75,physics_sindy_mpc,0,14.202824592590332,778.9271850585938,86.78561401367188,6.80035924911499,0.0,400.0,0.19509032201612825,0.9807852804032304,1.0,0.06394086294841632,1.0,0.15946565086287323,0.0,1.0
4,1.0,physics_sindy_mpc,0,14.817609786987305,747.2984619140625,84.36094665527344,7.050539016723633,0.0,400.0,0.25881904510252074,0.9659258262890683,1.0,0.07968647614407133,1.0,0.07119226467383785,0.0,1.0
5,1.25,physics_sindy_mpc,0,15.647313117980957,738.98779296875,83.09288024902344,7.299997329711914,0.0,400.0,0.3214394653031616,0.9469301294951057,0.8033169547295459,0.09345346822932028,1.0,0.07138500577570302,0.0,1.0
6,1.5,physics_sindy_mpc,0,16.199182510375977,735.6493530273438,82.99375915527344,7.249820232391357,0.0,400.0,0.3826834323650898,0.9238795325112867,0.6722515308591793,0.12442443322432166,1.0,0.09600945605980989,0.0,1.0
7,1.75,physics_sindy_mpc,0,16.385374069213867,737.1603393554688,83.40589141845703,7.199784278869629,0.0,400.0,0.44228869021900125,0.8968727415326884,0.6435806785722606,0.14530402744061338,1.0,0.11896372062184753,0.0,1.0
8,2.0,physics_sindy_mpc,0,16.370851516723633,740.6287841796875,83.84137725830078,7.1497483253479,0.0,400.0,0.49999999999999994,0.8660254037844387,0.6709626098847244,0.15241714623337269,1.0,0.13276724809870646,0.0,1.0
9,2.25,physics_sindy_mpc,0,16.320011138916016,743.00634765625,84.03097534179688,7.099533557891846,0.0,400.0,0.5555702330196022,0.8314696123025452,0.7000521160406655,0.15182585377566785,1.0,0.1360857505697016,0.0,1.0
10,2.5,physics_sindy_mpc,0,16.26568603515625,742.9205322265625,83.91526794433594,6.923867702484131,0.0,400.0,0.6087614290087207,0.7933533402912352,0.7085774048581308,0.1464740568701318,1.0,0.1279184963513679,0.0,1.0
11,2.75,physics_sindy_mpc,0,16.237409591674805,740.6355590820312,83.71072387695312,6.74874210357666,0.0,400.0,0.6593458151000688,0.7518398074789774,0.7028812068157206,0.14431588187894046,1.0,0.1179364060382592,0.0,1.0
12,3.0,physics_sindy_mpc,0,16.214645385742188,738.1716918945312,83.56832122802734,6.573616027832031,0.0,400.0,0.7071067811865476,0.7071067811865476,0.699891590831,0.14461493271592293,1.0,0.1097817540611483,0.0,1.0
