variant,degree,optimizer,denoise,one_step_t_rmse,rollout_t_rmse,diverged_frac,nonzero,sparsity,kappa,embeddable,mpc_step_ms,sign_pass,structural_stability,transparent
physics,1,stlsq,none,1.6672299718993606,15.740411204904076,0.1,39,0.40909090909090906,53.12296124681997,True,,0.6666666666666666,0.9076923076923077,True
physics,1,sr3,none,3.447986180850288,2147.145584901997,0.9,14,0.7878787878787878,53.12296124681997,True,,0.5,0.9380952380952381,True
physics,1,ensemble,none,1.6680318079116605,15.372264668372463,0.1,39,0.40909090909090906,53.12296124681997,True,,0.6666666666666666,0.9,True
physics,1,constrained,none,3.447986180850288,2147.145584901997,0.9,14,0.7878787878787878,53.12296124681997,True,,0.5,0.9380952380952381,True
physics,1,stlsq,savgol,3.949374572928997,5.224745076523566,0.0,3,0.9545454545454546,42.00000537419437,True,,0.0,1.0,False
physics,1,sr3,savgol,3.9416705125610263,4.994015491682071,0.0,3,0.9545454545454546,42.00000537419437,True,,0.0,1.0,False
physics,1,ensemble,savgol,3.9484695406107146,5.192744547207249,0.0,5,0.9242424242424242,42.00000537419437,True,,0.0,0.76,False
physics,1,constrained,savgol,3.9416705125610263,4.994015491682071,0.0,3,0.9545454545454546,42.00000537419437,True,,0.0,1.0,False
physics,1,stlsq,kalman,3.9526883298840243,5.355597576363912,0.0,3,0.9545454545454546,40.17318113305418,True,,0.0,1.0,False
physics,1,sr3,kalman,3.9679527076232946,6.36763981242783,0.0,3,0.9545454545454546,40.17318113305418,True,,0.0,1.0,False
physics,1,ensemble,kalman,3.952303574825042,5.3392138974541,0.0,3,0.9545454545454546,40.17318113305418,True,,0.0,1.0,False
physics,1,constrained,kalman,3.9679527076232946,6.36763981242783,0.0,3,0.9545454545454546,40.17318113305418,True,,0.0,1.0,False
physics_no_cross,1,stlsq,none,1.8243198982812212,3.009448923780933,0.0,27,0.5,24.682024019054563,True,,1.0,0.982716049382716,True
physics_no_cross,1,sr3,none,2.949389324821416,4.017060889773363,0.0,9,0.8333333333333334,24.682024019054563,True,,0.0,0.9851851851851853,False
physics_no_cross,1,ensemble,none,1.8192836318167231,2.763546293915702,0.0,28,0.4814814814814815,24.682024019054563,True,,1.0,0.9666666666666667,True
