method,seed,epi,viol,secs
grey_box_mpc,0,-0.016,191,4.9
grey_box_mpc,1,-0.016,191,4.4
grey_box_mpc,2,-0.016,191,5.9
grey_box_mpc,3,-0.016,191,7.9
grey_box_mpc,4,-0.016,191,5.8
grey_box_mpc,5,-0.016,191,4.2
grey_box_mpc,6,-0.016,191,6.1
grey_box_mpc,7,-0.016,191,4.6
grey_box_mpc,8,-0.016,191,5.3
grey_box_mpc,9,-0.016,191,4.9
nn_mpc,0,-1.209,3467,12495.3
nn_mpc,1,-0.820,3056,9869.1
nn_mpc,2,3.050,3890,12556.2
nn_mpc,3,-4.589,3383,9847.0
nn_mpc,4,-1.674,4159,12084.7
nn_mpc,5,-2.460,4144,9849.1
nn_mpc,6,-0.518,3601,12333.9
nn_mpc,7,-8.780,2015,9503.7
nn_mpc,8,1.094,4362,12576.2
nn_mpc,9,-4.380,1927,9615.9
oracle_mpc,0,2.710,3244,3863.2
oracle_mpc,1,2.681,3251,3912.3
ppo,0,-11.222,3858,7552.3
ppo,1,-16.623,4706,7484.6
ppo,2,-11.219,3808,7461.2
rule_based,0,4.646,2450,4.7
rule_based,1,4.646,2450,9.8
rule_based,2,4.646,2450,5.5
rule_based,3,4.646,2450,6.9
rule_based,4,4.646,2450,4.8
rule_based,5,4.646,2450,10.2
rule_based,6,4.646,2450,4.8
rule_based,7,4.646,2450,9.7
rule_based,8,4.646,2450,4.8
rule_based,9,4.646,2450,5.7
sindy_mpc,0,-0.016,191,7.6
sindy_mpc,1,-0.016,191,6.3
sindy_mpc,2,-0.016,191,9.9
sindy_mpc,3,-0.016,191,8.1
sindy_mpc,4,-0.016,191,6.0
sindy_mpc,5,-0.016,191,9.5
sindy_mpc,6,-0.016,191,7.7
sindy_mpc,7,-0.016,191,7.8
sindy_mpc,8,-0.016,191,6.8
sindy_mpc,9,-0.016,191,6.3
