steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,method,seed,secs
5760,4.6464599079955935,18.823172887471998,14.1767129794764,7.281325231762144,2.149558168623184,4.7458295790910725,764691.3985535498,80.90361368624605,15.819431930303576,7.165193895410615,95.29513888888889,271,386.4758968353272,100.0,0,0.0,62.17013888888889,2179,6890.137939453125,2450,2489.3419597206703,545.4976527316549,1592.265309416994,965.3604197936072,0,rule_based,0,4.7
5760,-1.208623853057221,11.860958874133182,13.0695827271904,7.337566407063765,2.1991199300686084,3.532896390058028,481851.45426166046,81.52851563404184,11.776321300193429,7.330399766895361,71.89236111111111,1619,1115.849708557129,98.90625,63,15428.603454589844,69.01041666666666,1785,3222.292922973633,3467,2508.5697117498776,406.0800446605366,1628.977724807166,750.2147600940634,0,nn_mpc,0,12495.3
5760,4.6464599079955935,18.823172887471998,14.1767129794764,7.281325231762144,2.149558168623184,4.7458295790910725,764691.3985535498,80.90361368624605,15.819431930303576,7.165193895410615,95.29513888888889,271,386.4758968353272,100.0,0,0.0,62.17013888888889,2179,6890.137939453125,2450,2489.3419597206703,545.4976527316549,1592.265309416994,965.3604197936072,0,rule_based,1,9.8
3686,-0.8196414286510335,7.287855396222032,8.107496824873065,4.660065578264467,1.6645477655625327,1.7828834810460663,296069.12547152006,51.77850642516074,5.942944936820222,5.54849255187511,71.10689093868693,1065,932.4256477355956,88.7683125339121,414,249171.9581298828,57.21649484536082,1577,3309.693416595459,3056,1593.1848129773882,204.92913545664769,1232.9983443805136,430.6633783176251,0,nn_mpc,1,9869.1
5760,4.6464599079955935,18.823172887471998,14.1767129794764,7.281325231762144,2.149558168623184,4.7458295790910725,764691.3985535498,80.90361368624605,15.819431930303576,7.165193895410615,95.29513888888889,271,386.4758968353272,100.0,0,0.0,62.17013888888889,2179,6890.137939453125,2450,2489.3419597206703,545.4976527316549,1592.265309416994,965.3604197936072,0,rule_based,2,5.5
5760,3.049906293691228,14.859043151494877,11.80913685780365,6.475781470198881,2.423143558630107,2.9102118289746617,603648.6280294794,71.95312744665424,9.700706096582206,8.07714519543369,74.47916666666666,1470,1329.6077909469604,89.49652777777779,605,134286.8829345703,68.48958333333334,1815,4354.499073028564,3890,2213.942383811051,334.5071066619513,1794.9211528886935,774.7430805813682,0,nn_mpc,2,12556.2
5760,4.6464599079955935,18.823172887471998,14.1767129794764,7.281325231762144,2.149558168623184,4.7458295790910725,764691.3985535498,80.90361368624605,15.819431930303576,7.165193895410615,95.29513888888889,271,386.4758968353272,100.0,0,0.0,62.17013888888889,2179,6890.137939453125,2450,2489.3419597206703,545.4976527316549,1592.265309416994,965.3604197936072,0,rule_based,3,6.9
3691,-4.589032835287576,8.19455420443409,12.783587039721665,4.770638062324317,1.874700050123367,6.138248927273979,332903.76455513487,53.0070895813813,20.460829757579933,6.249000167077891,66.54023299918721,1235,1292.1611776351929,84.04226496884313,589,216961.02612304688,57.76212408561365,1559,2842.964172363281,3383,1630.987372587179,705.5458527929718,1388.6667039790364,345.9397026797279,0,nn_mpc,3,9847.0
5760,4.6464599079955935,18.823172887471998,14.1767129794764,7.281325231762144,2.149558168623184,4.7458295790910725,764691.3985535498,80.90361368624605,15.819431930303576,7.165193895410615,95.29513888888889,271,386.4758968353272,100.0,0,0.0,62.17013888888889,2179,6890.137939453125,2450,2489.3419597206703,545.4976527316549,1592.265309416994,965.3604197936072,0,rule_based,4,4.8
5603,-1.6736708910974396,15.851338742904868,17.52500963400231,7.187247043173002,2.264115266720257,8.07364732410905,643960.6364305103,79.85830047970003,26.912157747030168,7.547050889067523,76.61966803498126,1310,1086.7549715042114,96.96591111904335,170,48518.69470214844,52.186328752454045,2679,5821.105583190918,4159,2457.1784746824924,928.0054385189352,1677.1224192956745,536.5504858468224,0,nn_mpc,4,12084.7
5760,4.6464599079955935,18.823172887471998,14.1767129794764,7.281325231762144,2.149558168623184,4.7458295790910725,764691.3985535498,80.90361368624605,15.819431930303576,7.165193895410615,95.29513888888889,271,386.4758968353272,100.0,0,0.0,62.17013888888889,2179,6890.137939453125,2450,2489.3419597206703,545.4976527316549,1592.265309416994,965.3604197936072,0,rule_based,5,10.2
3689,-2.4598172869082324,9.339574135623328,11.79939142253156,4.105342565016846,1.920495112757242,5.773553744757471,379420.1992596977,45.61491738907607,19.24517914919157,6.401650375857474,72.94659799403632,998,1376.6254663467407,72.75684467335321,1005,1027824.1420898438,41.96259148820818,2141,5883.694972991943,4144,1403.5359195241235,663.6268671538273,1422.5889714437662,379.2025052941258,0,nn_mpc,5,9849.1
5760,4.6464599079955935,18.823172887471998,14.1767129794764,7.281325231762144,2.149558168623184,4.7458295790910725,764691.3985535498,80.90361368624605,15.819431930303576,7.165193895410615,95.29513888888889,271,386.4758968353272,100.0,0,0.0,62.17013888888889,2179,6890.137939453125,2450,2489.3419597206703,545.4976527316549,1592.265309416994,965.3604197936072,0,rule_based,6,4.8
5760,-0.5179505722190001,12.744531082925697,13.262481655144695,7.610903206683465,2.199099903263586,3.4524785451976454,517746.5752438564,84.56559118537184,11.508261817325485,7.33033301087862,75.64236111111111,1403,1272.6497721672058,91.68402777777776,479,424752.9472351074,70.15625,1719,3388.6770668029785,3601,2602.0181900630423,396.83661400466633,1628.9628919153358,643.3772982205261,0,nn_mpc,6,12333.9
5760,4.6464599079955935,18.823172887471998,14.1767129794764,7.281325231762144,2.149558168623184,4.7458295790910725,764691.3985535498,80.90361368624605,15.819431930303576,7.165193895410615,95.29513888888889,271,386.4758968353272,100.0,0,0.0,62.17013888888889,2179,6890.137939453125,2450,2489.3419597206703,545.4976527316549,1592.265309416994,965.3604197936072,0,rule_based,7,9.7
3688,-8.780081797722017,10.327827486390415,19.10790928411244,5.515919289503459,2.1710676016665773,11.4209223929424,419567.9916346107,61.28799210559399,38.069741309808,7.236892005555258,85.98156182212581,517,486.4246702194214,91.70281995661604,306,97542.59362792967,67.67895878524945,1192,1847.6313934326167,2015,1885.7843730877808,1312.7497004406314,1608.1982241565847,481.7109482540749,0,nn_mpc,7,9503.7
5760,4.6464599079955935,18.823172887471998,14.1767129794764,7.281325231762144,2.149558168623184,4.7458295790910725,764691.3985535498,80.90361368624605,15.819431930303576,7.165193895410615,95.29513888888889,271,386.4758968353272,100.0,0,0.0,62.17013888888889,2179,6890.137939453125,2450,2489.3419597206703,545.4976527316549,1592.265309416994,965.3604197936072,0,rule_based,8,4.8
5701,1.0940212478815343,14.754853383913057,13.66083213603152,6.276663221655392,2.0768181764687323,5.307350737907396,599415.9187214678,69.74070246283769,17.691169126357988,6.922727254895775,66.81283985265742,1892,1709.9355392456057,99.71934748289772,16,1573.508544921875,56.95492018944045,2454,6801.72974395752,4362,2145.867766095876,610.0403141599488,1538.3838344600267,664.1023002592294,0,nn_mpc,8,12576.2
5760,4.6464599079955935,18.823172887471998,14.1767129794764,7.281325231762144,2.149558168623184,4.7458295790910725,764691.3985535498,80.90361368624605,15.819431930303576,7.165193895410615,95.29513888888889,271,386.4758968353272,100.0,0,0.0,62.17013888888889,2179,6890.137939453125,2450,2489.3419597206703,545.4976527316549,1592.265309416994,965.3604197936072,0,rule_based,9,5.7
3685,-4.379517182318695,9.477530954671131,13.857048136989825,5.3549790398742605,1.6424783990369618,6.859590698078604,385024.6950335147,59.49976710971401,22.86530232692868,5.474927996789873,78.94165535956581,776,535.45641040802,99.4843962008141,19,5181.325927734375,69.280868385346,1132,2251.115608215332,1927,1830.7620652192916,788.4587009735243,1216.6506653275633,454.01701877464296,0,nn_mpc,9,9615.9
5697,2.71019034189836,17.675033712941904,14.96484337104354,7.680645745597391,2.6350709272069643,4.649126698239183,718048.2445882647,85.34050828441546,15.49708899413061,8.783569757356549,73.70545901351588,1498,2477.021348953247,100.0,0,0.0,69.3522906793049,1746,3856.802894592285,3244,2625.861793933731,534.3823787917622,1951.90439028556,734.7228776778376,10,oracle_mpc,0,3863.2
5689,2.681238944377736,17.721071825822804,15.039832881445069,7.667676692898832,2.6081240394631324,4.764032149083104,719918.5429240514,85.19640769887592,15.880107163610344,8.693746798210443,73.31692740376164,1518,2527.329062461853,100.0,0,0.0,69.53770434171209,1733,4035.654891967773,3251,2621.427929443891,547.5899024420187,1931.9437333833944,723.7262764251159,10,oracle_mpc,1,3912.3
3592,-11.222106643930312,-0.7155066439303117,10.5066,10.5066,0.0,0.0,-29067.45740966892,116.74,0.0,0.0,42.34409799554566,2071,17520.857124328613,93.06792873051224,249,84259.400390625,57.1826280623608,1538,13760.513090133669,3858,3592.0,0.0,0.0,0.0,0,ppo,0,7552.3
5603,-16.62290287446924,-0.2341278744692391,16.388775000000003,16.388775000000003,0.0,0.0,-9511.44490031284,182.09750000000005,0.0,0.0,67.7315723719436,1808,10037.920574188232,100.0,0,0.0,48.2777083705158,2898,36628.11533164978,4706,5603.0,0.0,0.0,377.4341091513634,0,ppo,1,7484.6
3592,-11.219301646452529,-0.7127016464525285,10.5066,10.5066,0.0,0.0,-28953.504387133973,116.74,0.0,0.0,42.90089086859688,2051,17309.259872436523,93.26280623608018,242,80606.60401916504,57.82293986636972,1515,13365.938329696655,3808,3592.0,0.0,0.0,0.0,0,ppo,2,7461.2
