step,time_h,controller,solver_failures,t_in,co2,rh,T_out,rad,co2_out,sin_h,cos_h,uBoil,uCO2,uThScr,uVent,uLamp,uBlScr
0,0.0,raw_sindy_mpc,0,16.5,414.60009765625,90.0,6.300000190734863,0.0,400.0,0.0,1.0,1.0,0.8798068510540757,0.5404395588409495,0.0,0.0,0.3984585252522144
1,0.25,raw_sindy_mpc,0,14.182493209838867,758.1882934570312,94.90616607666016,6.300000190734863,0.0,400.0,0.06540312923014306,0.9978589232386035,1.0,0.24975956817785822,0.9492398284544035,0.27319325532159716,0.0,0.0
2,0.5,raw_sindy_mpc,0,13.170737266540527,714.6882934570312,87.8833236694336,6.550179958343506,0.0,400.0,0.13052619222005157,0.9914448613738104,1.0,0.18509601952255084,1.0,0.2136252665558119,0.0,0.2633480044054215
3,0.75,raw_sindy_mpc,0,14.036362648010254,738.5306396484375,84.54940032958984,6.80035924911499,0.0,400.0,0.19509032201612825,0.9807852804032304,1.0,0.07117508279100285,1.0,0.15709327486371535,0.0,0.5203799727915488
4,1.0,raw_sindy_mpc,0,14.76511001586914,716.4158935546875,83.10620880126953,7.050539016723633,0.0,400.0,0.25881904510252074,0.9659258262890683,1.0,0.08948425086534563,1.0,0.1096315364531733,0.0,0.5897535150727494
5,1.25,raw_sindy_mpc,0,15.552700996398926,709.326904296875,82.0462646484375,7.299997329711914,0.0,400.0,0.3214394653031616,0.9469301294951057,1.0,0.09225858060567599,1.0,0.06925015705140489,0.0,0.6386322488181975
6,1.5,raw_sindy_mpc,0,16.31126594543457,709.26025390625,81.63367462158203,7.249820232391357,0.0,400.0,0.3826834323650898,0.9238795325112867,0.9017251450864744,0.09863935828423946,1.0,0.03872409826398799,0.0,0.6207281341522995
7,1.75,raw_sindy_mpc,0,16.99835205078125,719.1900634765625,81.7695541381836,7.199784278869629,0.0,400.0,0.44228869021900125,0.8968727415326884,0.7889545595984716,0.0950120510206627,1.0,0.018145867806561796,0.0,0.5525916894716387
8,2.0,raw_sindy_mpc,0,17.538991928100586,736.5531005859375,82.29508209228516,7.1497483253479,0.0,400.0,0.49999999999999994,0.8660254037844387,0.7273172102198721,0.0766711507003834,1.0,0.005456437897923026,0.0,0.47669803047926634
9,2.25,raw_sindy_mpc,0,17.920759201049805,756.8311157226562,83.05384063720703,7.099533557891846,0.0,400.0,0.5555702330196022,0.8314696123025452,0.723757725978934,0.05010353958531107,1.0,2.0785251771733248e-08,0.0,0.4117679029148353
10,2.5,raw_sindy_mpc,0,18.160856246948242,774.8248291015625,83.69933319091797,6.923867702484131,0.0,400.0,0.6087614290087207,0.7933533402912352,0.7506396396344585,0.024110536878092132,1.0,0.0,0.0,0.39048820862988765
11,2.75,raw_sindy_mpc,0,18.300134658813477,784.1690673828125,84.02934265136719,6.74874210357666,0.0,400.0,0.6593458151000688,0.7518398074789774,0.7750091339572889,0.012393033032405909,1.0,0.0,0.0,0.38837558969887287
12,3.0,raw_sindy_mpc,0,18.400245666503906,788.4649658203125,84.04216766357422,6.573616027832031,0.0,400.0,0.7071067811865476,0.7071067811865476,0.778823371252267,0.009943759988722121,1.0,0.0,0.0,0.40162197913972153
13,3.25,raw_sindy_mpc,0,18.47015380859375,791.3584594726562,83.91961669921875,6.3984904289245605,0.00030608384986408055,400.0,0.7518398074789774,0.6593458151000688,0.7713978135309345,0.01010881032484366,1.0,0.0,0.0,0.4181013654188998
14,3.5,raw_sindy_mpc,0,18.464691162109375,794.1983642578125,84.82707214355469,6.223364353179932,0.7009345889091492,400.0,0.7933533402912352,0.6087614290087207,0.8593549964109821,0.016065633079556215,1.0,8.787234716535994e-11,0.0,0.37617257451246205
15,3.75,raw_sindy_mpc,0,18.545442581176758,799.8582763671875,85.3759994506836,6.048238754272461,1.3958783149719238,400.0,0.8314696123025451,0.5555702330196024,0.9264051977777601,0.014228950093500732,1.0,0.0,0.0,0.3679741798557764
16,4.0,raw_sindy_mpc,0,18.716726303100586,805.1422119140625,85.55181121826172,5.873112678527832,2.0908219814300537,400.0,0.8660254037844386,0.5000000000000001,0.9391402138820875,0.013692710995746413,1.0,0.0,0.0,0.37693867450508706
17,4.25,raw_sindy_mpc,0,18.926471710205078,810.525634765625,85.63471221923828,5.700078010559082,2.803941488265991,400.0,0.8968727415326884,0.44228869021900125,0.906326036615119,0.01759044497232632,1.0,0.0,0.0,0.37068008807340574
18,4.5,raw_sindy_mpc,0,19.102630615234375,815.5899047851562,87.27322387695312,5.801222324371338,18.242271423339844,400.0,0.9238795325112867,0.38268343236508984,0.9599374940993088,0.04507217767636879,1.0,0.01074683372193522,0.0,0.22411851089209836
19,4.75,raw_sindy_mpc,0,19.395414352416992,814.0313110351562,87.20993041992188,5.901294231414795,33.53103256225586,400.0,0.9469301294951056,0.3214394653031617,0.8722361764327634,0.07941000005814892,1.0,0.02183857043340767,0.0,0.18084276734254295
20,5.0,raw_sindy_mpc,0,19.606765747070312,808.5007934570312,87.22662353515625,6.001366138458252,48.819793701171875,400.0,0.9659258262890683,0.25881904510252074,0.7721203255666707,0.12647036378409943,1.0,0.03929029059607227,0.0,0.13133046195311518
21,5.25,raw_sindy_mpc,0,19.681060791015625,804.2225341796875,87.38648986816406,6.1025919914245605,64.04925537109375,400.0,0.9807852804032304,0.19509032201612833,0.7031950579080387,0.17138626396022838,1.0,0.06316773047461,0.0,0.08611920612997408
22,5.5,raw_sindy_mpc,0,19.77699851989746,801.6964721679688,87.61115264892578,6.506038665771484,73.05296325683594,400.0,0.9914448613738104,0.1305261922200517,0.6464224890072746,0.21480115008473707,1.0,0.09389201118043981,0.0,0.033867792520354045
23,5.75,raw_sindy_mpc,0,19.8533992767334,801.90576171875,87.91118621826172,6.9063262939453125,82.08722686767578,400.0,0.9978589232386035,0.06540312923014327,0.5982840686770745,0.25501708046654226,1.0,0.1325040316227223,0.0,9.472120075062269e-09
24,6.0,raw_sindy_mpc,0,19.895858764648438,805.7343139648438,88.1649398803711,7.306613922119141,91.12149810791016,400.0,1.0,6.123233995736766e-17,0.5396463413881895,0.2916555297130781,1.0,0.1841861055913084,0.0,0.0
25,6.25,raw_sindy_mpc,0,19.894865036010742,813.4313354492188,88.24517822265625,7.703645706176758,100.27169799804688,400.0,0.9978589232386035,-0.06540312923014314,0.43767580430685765,0.3230228780729071,1.0,0.24123687323467105,0.0,0.0
26,6.5,raw_sindy_mpc,0,19.93783187866211,818.9756469726562,88.33351135253906,7.852695941925049,131.8116455078125,400.0,0.9914448613738104,-0.1305261922200516,0.2900161674508155,0.37004417361844666,1.0,0.30587416421641506,0.0,0.0
27,6.75,raw_sindy_mpc,0,19.951457977294922,830.1890869140625,88.66580963134766,8.002803802490234,163.0841064453125,400.0,0.9807852804032304,-0.1950903220161282,0.16717860966398143,0.4036478182614855,0.9844303511755264,0.3680146962853519,0.0,0.0
28,7.0,raw_sindy_mpc,0,19.529287338256836,813.4351196289062,88.75437927246094,8.152911186218262,194.35658264160156,400.0,0.9659258262890683,-0.25881904510252063,0.15229123958314122,0.4702773467493449,0.9437955202958491,0.4000000099197025,0.0,0.0
29,7.25,raw_sindy_mpc,0,17.683286666870117,713.31298828125,86.98824310302734,8.303921699523926,224.9983673095703,400.0,0.9469301294951057,-0.3214394653031616,0.26285057393031663,0.6586066710739401,0.9044716653585481,0.40000000988316203,0.0,0.0
30,7.5,raw_sindy_mpc,0,16.120473861694336,668.4989013671875,84.00212860107422,8.555212020874023,224.29107666015625,400.0,0.9238795325112868,-0.3826834323650895,0.22872139622352708,0.7268284028505145,0.8925924359528208,0.4000000093775827,0.0,0.0
31,7.75,raw_sindy_mpc,0,15.600327491760254,664.7623291015625,82.35823059082031,8.805392265319824,223.59613037109375,400.0,0.8968727415326884,-0.44228869021900113,0.14768800509346675,0.7259515431016917,0.8759015662193728,0.3964699055162671,0.0,0.0
32,8.0,raw_sindy_mpc,0,15.224631309509277,651.4160766601562,81.45848846435547,9.055571556091309,222.90118408203125,400.0,0.8660254037844387,-0.4999999999999998,0.10852209777802202,0.7515980047432286,0.847321300971079,0.39421794866567905,0.0,0.0
33,8.25,raw_sindy_mpc,0,14.808066368103027,635.1307373046875,80.42462158203125,9.302530288696289,222.2988739013672,400.0,0.8314696123025451,-0.5555702330196023,0.06332846766529426,0.7839641350028577,0.8049760794496242,0.3875554326342694,0.0,0.0035824191177996467
