metric_scope,horizon,state,rmse,mae,r2,failed_rollouts,attempted_rollouts,dagger_iteration,aggregate_rows,condition_number,nonzero_coefficients
one_step,1,t_in,1.4766222682999561,1.149179958784931,0.8668313929747027,,,0,5760,78.78995449639699,49
one_step,1,co2,79.08957617649331,61.352450884666794,0.8409516682695946,,,0,5760,78.78995449639699,49
one_step,1,rh,4.0388799852852015,2.72617021011011,0.8284531679954752,,,0,5760,78.78995449639699,49
rollout,4,t_in,2.601747336877547,1.9660820824254468,,0.0,20.0,0,5760,78.78995449639699,49
rollout,4,co2,169.55788147604716,120.88088188097144,,0.0,20.0,0,5760,78.78995449639699,49
rollout,4,rh,6.3751475799757875,4.076190631038525,,0.0,20.0,0,5760,78.78995449639699,49
rollout,20,t_in,5.902322179531095,2.4623527240918914,,0.0,20.0,0,5760,78.78995449639699,49
rollout,20,co2,249.5966520104314,154.40047204373565,,0.0,20.0,0,5760,78.78995449639699,49
rollout,20,rh,23.87877857493623,7.948965113709624,,0.0,20.0,0,5760,78.78995449639699,49
rollout,96,t_in,19.8954587890638,3.998694372616421,,3.0,20.0,0,5760,78.78995449639699,49
rollout,96,co2,396.948456473315,180.582952778411,,3.0,20.0,0,5760,78.78995449639699,49
rollout,96,rh,88.17791822886014,15.528506460283342,,3.0,20.0,0,5760,78.78995449639699,49
one_step,1,t_in,1.4834923453598998,1.1390557621645667,0.8655893598878021,,,1,6240,77.78271003018496,48
one_step,1,co2,79.34815290398913,61.609783239629046,0.8399099778611265,,,1,6240,77.78271003018496,48
one_step,1,rh,4.071073930326357,2.7553098762093624,0.8257074660577831,,,1,6240,77.78271003018496,48
rollout,4,t_in,3.1905535784991064,2.149490342079218,,0.0,20.0,1,6240,77.78271003018496,48
rollout,4,co2,183.75442660995378,127.48704114801515,,0.0,20.0,1,6240,77.78271003018496,48
rollout,4,rh,7.758537095188088,4.521812557969174,,0.0,20.0,1,6240,77.78271003018496,48
rollout,20,t_in,23.62303578674308,4.807594159839012,,0.0,20.0,1,6240,77.78271003018496,48
rollout,20,co2,346.84139057529393,174.81266231831788,,0.0,20.0,1,6240,77.78271003018496,48
rollout,20,rh,101.28309494481807,17.415927029453233,,0.0,20.0,1,6240,77.78271003018496,48
rollout,96,t_in,29.53186977488898,6.536541994973043,,7.0,20.0,1,6240,77.78271003018496,48
rollout,96,co2,408.7822909519185,194.69485406626328,,7.0,20.0,1,6240,77.78271003018496,48
rollout,96,rh,127.14388227522495,25.378408025730778,,7.0,20.0,1,6240,77.78271003018496,48
one_step,1,t_in,1.4834791072003424,1.134264457408818,0.8655917587428639,,,2,6720,73.22803677906658,50
one_step,1,co2,79.16682176688646,61.51515776213086,0.8406408363610556,,,2,6720,73.22803677906658,50
one_step,1,rh,4.071101989024701,2.7493994149826606,0.8257050635278511,,,2,6720,73.22803677906658,50
rollout,4,t_in,3.442586767909407,2.254301872091805,,0.0,20.0,2,6720,73.22803677906658,50
rollout,4,co2,180.44141380381916,124.94971147035524,,0.0,20.0,2,6720,73.22803677906658,50
rollout,4,rh,7.659102072996617,4.42247743215742,,0.0,20.0,2,6720,73.22803677906658,50
rollout,20,t_in,47.65927313518967,6.721890975695957,,1.0,20.0,2,6720,73.22803677906658,50
rollout,20,co2,1585.4496230422162,272.8842886467514,,1.0,20.0,2,6720,73.22803677906658,50
rollout,20,rh,99.3200366873266,17.79079782326616,,1.0,20.0,2,6720,73.22803677906658,50
rollout,96,t_in,939.9798593349356,30.3851153395934,,8.0,20.0,2,6720,73.22803677906658,50
rollout,96,co2,21294.257648713952,745.9211198179977,,8.0,20.0,2,6720,73.22803677906658,50
rollout,96,rh,2906.829355454503,99.90733050092663,,8.0,20.0,2,6720,73.22803677906658,50
one_step,1,t_in,1.4760370713109687,1.119865058417909,0.8669369235865897,,,3,7200,71.42717390587984,50
one_step,1,co2,79.4927097583116,61.74328819922761,0.8393261409508552,,,3,7200,71.42717390587984,50
one_step,1,rh,4.077193587095092,2.7372045772650986,0.8251830775695348,,,3,7200,71.42717390587984,50
rollout,4,t_in,3.3663613386776268,2.184709723693623,,0.0,20.0,3,7200,71.42717390587984,50
rollout,4,co2,176.36078556758045,121.83852725126317,,0.0,20.0,3,7200,71.42717390587984,50
rollout,4,rh,7.563882294638731,4.339791751114039,,0.0,20.0,3,7200,71.42717390587984,50
rollout,20,t_in,271.87820176399083,18.470849601954466,,1.0,20.0,3,7200,71.42717390587984,50
rollout,20,co2,8131.297759455821,611.5591025587786,,1.0,20.0,3,7200,71.42717390587984,50
rollout,20,rh,532.5397002916446,42.6886005252503,,1.0,20.0,3,7200,71.42717390587984,50
rollout,96,t_in,48.80089053348684,8.0181700415053,,8.0,20.0,3,7200,71.42717390587984,50
rollout,96,co2,1271.0455999143794,237.44658796561566,,8.0,20.0,3,7200,71.42717390587984,50
rollout,96,rh,159.0442880696468,29.798485781789754,,8.0,20.0,3,7200,71.42717390587984,50
