variant,degree,optimizer,denoise,one_step_t_rmse,rollout_t_rmse,diverged_frac,nonzero,sparsity,kappa,embeddable,mpc_step_ms,sign_pass,structural_stability,transparent
physics,1,stlsq,none,1.987817178855026,5.263354521949339,0.0,32,0.5151515151515151,42.35447530247588,True,12.346600007731467,0.5,0.90625,True
physics,1,ensemble,none,2.100713961501287,5.009842151673536,0.0,37,0.43939393939393945,42.35447530247588,True,11.092100001405925,0.5,0.8678571428571429,True
physics,1,stlsq,savgol,3.1279145917408426,4.9877649327917615,0.0,5,0.9242424242424242,36.75035376121325,True,8.76209998386912,1.0,0.75,True
physics,1,ensemble,savgol,3.125766786937242,4.994423216998203,0.0,5,0.9242424242424242,36.75035376121325,True,8.712199982255697,1.0,0.85,True
raw,1,stlsq,none,2.30810710493238,5.653805261652217,0.0,16,0.6444444444444444,7.040342579419193,True,12.117000005673617,0.0,0.96875,False
raw,1,ensemble,none,2.35255152680281,5.677332428371047,0.0,18,0.6,7.040342579419193,True,12.006200005998835,0.0,0.9338235294117647,False
raw,1,stlsq,savgol,3.1279145917408426,4.9877649327917615,0.0,3,0.9333333333333333,7.480497441077093,True,8.045399998081848,0.0,1.0,False
raw,1,ensemble,savgol,3.125414689601893,4.997061127870814,0.0,3,0.9333333333333333,7.480497441077093,True,7.89249999797903,0.0,1.0,False
physics,2,stlsq,none,4.7463136942008575,2391.6378048519414,1.0,335,0.5586297760210803,42.35447530247588,False,,,,False
physics,2,ensemble,none,28.362692526001382,33393.97902067864,1.0,316,0.5836627140974967,42.35447530247588,False,,,,False
physics,2,stlsq,savgol,3.205614413871736,5.139526192743095,0.0,11,0.9855072463768116,36.75035376121325,False,,,,False
physics,2,ensemble,savgol,3.191586236006644,23.56713376788894,0.0,10,0.9868247694334651,36.75035376121325,False,,,,False
