method,epi_mean,epi_std,viol_mean,Tcorr,n,gap_to_oracle
sindy_mpc_conf_dagger,5.22803833891002,2.396669558655032,4301.7,62.04166666666667,20,-3.2409119964382884
rule_based,4.633505033605601,0.0,2458.0,95.22569444444444,20,-2.64637869113387
sindy_mpc_dense,3.8091950203730733,1.2743177421201803,6073.45,64.60075672583014,20,-1.822068677901342
grey_box_mpc,3.786148285638312,1.2716023246258201,6083.1,64.61414185858658,20,-1.7990219431665806
ppo,3.355003847580967,1.5923356111395603,1841.95,84.46006944444444,20,-1.3678775051092358
sindy_mpc_dense_dagger,3.2349774035741534,2.209877479755663,4466.5,65.69111630955611,20,-1.247851061102422
oracle_mpc,1.9871263424717316,0.6842384514254246,2815.8,72.39599198485188,20,-2.220446049250313e-16
sindy_mpc_confirmatory,1.176068122387549,4.326739113535491,5357.45,50.04166666666667,20,0.8110582200841823
sindy_mpc,1.072820870732532,3.78475028500997,5482.6,49.61371527777778,20,0.9143054717391994
sac,-2.407860876028616,1.2355110008527237,1682.5,81.77256944444444,10,4.394987218500347
nn_mpc,-5.089094205472632,3.107878906205569,4368.15,69.52988938568208,20,7.076220547944363
