method,baseline,metric,n_pairs,mean_diff,ci_low,ci_high,cohen_d,p_value,p_holm,significant
grey_box_mpc,rule_based,epi,20,-0.8473567479672894,-1.4264562597359982,-0.33435267377023176,-0.6663692976622744,0.0042209625244140625,0.01688385009765625,True
nn_mpc,rule_based,epi,20,-9.722599239078233,-11.108810465909627,-8.39464584641305,-3.128371320923019,1.9073486328125e-06,1.9073486328125e-05,True
oracle_mpc,rule_based,epi,20,-2.6463786911338696,-2.9464919447009046,-2.346066466383228,-3.867626389041703,1.9073486328125e-06,1.9073486328125e-05,True
ppo,rule_based,epi,20,-1.2785011860246347,-2.0085402608837235,-0.6426696366863828,-0.8029093722954974,0.0001678466796875,0.0013427734375,True
sac,rule_based,epi,10,-7.0413659096342185,-7.740282869637001,-6.319644553723977,-5.6991527430906865,0.001953125,0.009765625,True
sindy_mpc,rule_based,epi,20,-3.560684162873069,-5.0632783537655,-1.8701646786430237,-0.9407976470666276,0.0005855560302734375,0.0040988922119140625,True
sindy_mpc_conf_dagger,rule_based,epi,20,0.5945333053044182,-0.42052631599746526,1.544377924489626,0.24806644835836755,0.26109886169433594,0.26109886169433594,False
sindy_mpc_confirmatory,rule_based,epi,20,-3.4574369112180525,-5.17514805429182,-1.4798614057825867,-0.7990860600772601,0.0014324188232421875,0.008594512939453125,True
sindy_mpc_dense,rule_based,epi,20,-0.8243100132325278,-1.383101905092891,-0.29302532141740173,-0.6468637969839555,0.005580902099609375,0.01688385009765625,True
sindy_mpc_dense_dagger,rule_based,epi,20,-1.398527630031448,-2.3735263019388095,-0.5500808734113538,-0.6328530168946038,0.01531219482421875,0.0306243896484375,True
