train,test,rmse,epi_ung,viol_ung,viol_grd,guard,n
2019:03-01,2020:03-01,2.9065618485144404,0.7871349139101544,1245.2,1168.4,0.3355654761904761,5
2019:03-01,2021:03-01,5.482373488649446,-0.3120625476330229,1479.6,1208.0,0.3995535714285714,5
2019:03-01,2021:07-01,25.67580773892675,-5.7309044644912,1374.4,846.0,1.0,5
2019:03-01,2022:10-01,25.864397732011923,0.6505429468033566,1225.6,865.0,0.8370535714285714,5
2019:03-01,2023:01-01,25.091618754105202,-4.8358365995453925,1650.4,1235.2,0.4754464285714285,5
2019:07-01,2020:03-01,32.65707024915367,-0.31597226851513227,2150.0,648.0,1.0,5
2019:07-01,2021:03-01,70.8066569376181,-2.882674138318413,2400.0,586.0,1.0,5
2019:07-01,2021:07-01,2.153690860195683,-0.08622721216951056,160.0,604.0,0.5961080399866991,5
2019:07-01,2022:10-01,16.761471439724044,0.3531094440875723,1866.0,771.8,0.9092261904761905,5
2019:07-01,2023:01-01,75.73315003050193,-3.639915347093479,2814.2,934.0,1.0,5
