factor,value,epi,seed,nonzero,rep
mpc_horizon,8.0,1.1864647500918015,0,,
mpc_horizon,12.0,0.18328168668180295,0,,
mpc_horizon,20.0,-0.07401626598816835,0,,
mpc_horizon,30.0,-0.2035384803842864,0,,
stlsq_threshold,0.01,0.8843619499670141,0,40.0,
stlsq_threshold,0.05,-0.07401626598816835,0,27.0,
stlsq_threshold,0.1,0.42393703420395745,0,14.0,
stlsq_threshold,0.2,1.0417193044307567,0,11.0,
coef_uncertainty,0.1,-0.280184781236701,0,,0.0
coef_uncertainty,0.1,1.7174248099071647,0,,1.0
coef_uncertainty,0.2,0.19502400050364718,0,,0.0
coef_uncertainty,0.2,2.7759975296124786,0,,1.0
coef_uncertainty,0.3,1.4692909730519212,0,,0.0
coef_uncertainty,0.3,0.020345938315763534,0,,1.0
