fault,supervised,seed,epi,viol,flag_frac
none,0,2,0.634301531202873,4338,0.0
t_in_stuck,0,2,-0.6188729530072827,5525,0.0
t_in_stuck,1,2,0.45007131791128574,2304,0.6559027777777777
t_in_offset,0,2,0.09722778369566334,4892,0.0
t_in_offset,1,2,0.3381574352506046,2874,0.5166666666666667
rh_offset,0,2,-2.2376085194351294,5646,0.0
rh_offset,1,2,0.4993997566362164,2329,0.6524305555555555
uVent_dead,0,2,1.7611022121373172,5939,0.0
uVent_dead,1,2,1.6619141493673637,3114,0.6520833333333333
uBoil_stuck,0,2,-3.275150104656179,2989,0.0
uBoil_stuck,1,2,-2.887193759816637,1886,0.5479166666666667
uLamp_dead,0,2,-0.7740418788041264,4247,0.0
uLamp_dead,1,2,1.7669366678419867,2581,0.5246527777777777
