method,baseline,metric,n_pairs,mean_diff,ci_low,ci_high,cohen_d,p_value,p_holm,significant
grey_box_mpc,sindy_mpc,epi,20,2.71332741490578,0.6624817645194149,4.487030730501453,0.5987064122668267,0.021484375,0.12890625,False
nn_mpc,sindy_mpc,epi,20,-6.161915076205164,-8.244111117387053,-4.2162912436232185,-1.2977891332272393,1.9073486328125e-05,0.00019073486328125,True
oracle_mpc,sindy_mpc,epi,20,0.9143054717391994,-0.8423129051716768,2.5661763119925243,0.23102334280402895,0.26109886169433594,0.5221977233886719,False
ppo,sindy_mpc,epi,20,2.2821829768484347,0.7263941048602433,3.792825521240567,0.6281714575584639,0.013616561889648438,0.09531593322753906,False
rule_based,sindy_mpc,epi,20,3.560684162873069,1.8081613771573513,5.09977141050614,0.9407976470666276,0.0005855560302734375,0.0046844482421875,True
sac,sindy_mpc,epi,10,-3.165760357496048,-6.244588260100418,-0.4682242695800919,-0.6420721122155318,0.048828125,0.17621612548828125,False
sindy_mpc_conf_dagger,sindy_mpc,epi,20,4.155217468177487,2.4403664686340765,5.8506693964451335,1.0200907577376532,0.0003223419189453125,0.0029010772705078125,True
sindy_mpc_confirmatory,sindy_mpc,epi,20,0.10324725165501696,-0.9355223906273679,1.2753512889640013,0.03973954843705673,0.7841262817382812,0.7841262817382812,False
sindy_mpc_dense,sindy_mpc,epi,20,2.736374149640542,0.8035713501864985,4.587682408563879,0.6100065906647792,0.021484375,0.12890625,False
sindy_mpc_dense_dagger,sindy_mpc,epi,20,2.162156532841621,-0.00787668288390533,4.160744374999485,0.4540548917468333,0.04405403137207031,0.17621612548828125,False
