method,budget_days,co2,rh,t_in
physics_full,3,334.24693210530336,6.833331298956149,3.9165229018385452
physics_full,7,224.65348080515406,6.198694086258944,3.2780251317105864
physics_full,14,226.660900335286,4.774551924565304,2.5850206667302333
physics_full,30,123.67745109488632,4.633522109312686,1.945495309264968
physics_full,60,79.08957617649331,4.0388799852852015,1.4766222682999561
physics_no_cross,3,122.25309364029887,5.63376362561291,3.803300940056317
physics_no_cross,7,130.93732591659113,5.80131375918629,3.3527573361537315
physics_no_cross,14,99.03058719077947,5.254540118897231,1.9836155680146075
physics_no_cross,30,92.18163352166356,4.672097951469478,1.7078523924728695
physics_no_cross,60,88.81232355784473,4.266225267716854,1.6594925674756589
raw_linear,3,126.87538086245013,5.946280452516745,3.2526304831259925
raw_linear,7,104.71712656532537,5.880547443009717,2.521151168867471
raw_linear,14,98.9495892261298,5.594792138902982,2.158772253244216
raw_linear,30,92.75742333397653,4.915010247396783,1.906375519196626
raw_linear,60,89.22683819803358,4.5359460760280195,1.7946976225345859
raw_quadratic,3,363.87557673091976,16.309618449452806,4.670297390914839
raw_quadratic,7,80.78911480729973,9.97957526652482,2.5351443103213054
raw_quadratic,14,67.54822861333774,9.418999240762696,2.087880968470961
raw_quadratic,30,55.04154307231075,4.225604666538298,1.1209104762152295
raw_quadratic,60,51.63832980140784,3.1958649597956086,0.9707517783649081
